"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Male!!Estimate","North Carolina!!Male!!Margin of Error","North Carolina!!Female!!Estimate","North Carolina!!Female!!Margin of Error"
"Workers 16 years and over","4,183,841","±28,155","2,194,207","±16,925","1,989,634","±18,341"
"MEANS OF TRANSPORTATION TO WORK","","","","","",""
"    Car, truck, or van","91.0%","±0.3","90.1%","±0.5","91.9%","±0.3"
"        Drove alone","81.0%","±0.4","79.1%","±0.6","83.1%","±0.5"
"        Carpooled","9.9%","±0.3","11.0%","±0.5","8.8%","±0.4"
"            In 2-person carpool","7.8%","±0.3","8.4%","±0.4","7.1%","±0.3"
"            In 3-person carpool","1.2%","±0.1","1.3%","±0.2","1.0%","±0.1"
"            In 4-or-more person carpool","1.0%","±0.1","1.2%","±0.1","0.7%","±0.1"
"        Workers per car, truck, or van","1.06","±0.01","1.07","±0.01","1.05","±0.01"
"    Public transportation (excluding taxicab)","1.2%","±0.1","1.2%","±0.2","1.1%","±0.1"
"    Walked","1.7%","±0.1","2.2%","±0.2","1.2%","±0.1"
"    Bicycle","0.2%","±0.1","0.3%","±0.1","0.1%","±0.1"
"    Taxicab, motorcycle, or other means","1.2%","±0.1","1.4%","±0.2","1.0%","±0.2"
"    Worked at home","4.7%","±0.2","4.8%","±0.3","4.6%","±0.3"
"PLACE OF WORK","","","","","",""
"    Worked in state of residence","97.6%","±0.2","96.8%","±0.3","98.5%","±0.2"
"        Worked in county of residence","72.3%","±0.4","69.7%","±0.6","75.2%","±0.6"
"        Worked outside county of residence","25.3%","±0.4","27.1%","±0.6","23.3%","±0.6"
"    Worked outside state of residence","2.4%","±0.2","3.2%","±0.3","1.5%","±0.2"
"Living in a place","60.3%","±0.5","59.6%","±0.6","61.2%","±0.5"
"    Worked in place of residence","31.1%","±0.4","29.3%","±0.5","33.2%","±0.6"
"    Worked outside place of residence","29.2%","±0.5","30.3%","±0.5","27.9%","±0.6"
"Not living in a place","39.7%","±0.5","40.4%","±0.6","38.8%","±0.5"
"Living in 12 selected states","N","N","N","N","N","N"
"    Worked in minor civil division of residence","N","N","N","N","N","N"
"    Worked outside minor civil division of residence","N","N","N","N","N","N"
"Not living in 12 selected states","N","N","N","N","N","N"
"Workers 16 years and over who did not work at home","3,986,657","±27,485","2,089,180","±15,551","1,897,477","±18,856"
"TIME LEAVING HOME TO GO TO WORK","","","","","",""
"    12:00 a.m. to 4:59 a.m.","3.6%","±0.2","4.8%","±0.3","2.3%","±0.2"
"    5:00 a.m. to 5:29 a.m.","3.1%","±0.2","4.1%","±0.3","2.0%","±0.2"
"    5:30 a.m. to 5:59 a.m.","4.3%","±0.2","5.5%","±0.3","3.0%","±0.2"
"    6:00 a.m. to 6:29 a.m.","9.0%","±0.3","10.8%","±0.5","7.1%","±0.4"
"    6:30 a.m. to 6:59 a.m.","10.2%","±0.3","10.9%","±0.4","9.4%","±0.4"
"    7:00 a.m. to 7:29 a.m.","15.8%","±0.4","15.7%","±0.5","15.9%","±0.5"
"    7:30 a.m. to 7:59 a.m.","14.4%","±0.3","12.5%","±0.5","16.5%","±0.5"
"    8:00 a.m. to 8:29 a.m.","11.0%","±0.3","9.9%","±0.4","12.2%","±0.5"
"    8:30 a.m. to 8:59 a.m.","5.3%","±0.2","4.6%","±0.3","6.1%","±0.4"
"    9:00 a.m. to 11:59 p.m.","23.2%","±0.4","21.1%","±0.6","25.4%","±0.6"
"TRAVEL TIME TO WORK","","","","","",""
"    Less than 10 minutes","13.4%","±0.4","12.9%","±0.4","13.9%","±0.6"
"    10 to 14 minutes","15.6%","±0.3","14.7%","±0.5","16.7%","±0.5"
"    15 to 19 minutes","17.6%","±0.4","16.5%","±0.5","18.8%","±0.6"
"    20 to 24 minutes","15.7%","±0.4","15.2%","±0.5","16.3%","±0.5"
"    25 to 29 minutes","6.8%","±0.3","6.4%","±0.4","7.3%","±0.4"
"    30 to 34 minutes","13.5%","±0.4","14.3%","±0.5","12.6%","±0.5"
"    35 to 44 minutes","5.8%","±0.2","6.3%","±0.3","5.2%","±0.3"
"    45 to 59 minutes","6.4%","±0.3","7.3%","±0.4","5.5%","±0.3"
"    60 or more minutes","5.1%","±0.2","6.4%","±0.3","3.7%","±0.2"
"    Mean travel time to work (minutes)","23.4","±0.2","24.9","±0.3","21.7","±0.3"
"VEHICLES AVAILABLE","","","","","",""
"    Workers 16 years and over in households","4,124,921","±27,927","2,152,745","±16,952","1,972,176","±17,904"
"    No vehicle available","2.6%","±0.2","2.6%","±0.3","2.5%","±0.3"
"    1 vehicle available","20.9%","±0.4","18.1%","±0.6","24.0%","±0.6"
"    2 vehicles available","43.9%","±0.7","45.7%","±0.7","41.9%","±0.8"
"    3 or more vehicles available","32.6%","±0.6","33.7%","±0.7","31.5%","±0.7"
"PERCENT IMPUTED","","","","","",""
"    Means of transportation to work","5.0%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","6.2%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","6.9%","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","11.2%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","8.6%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.0%","(X)","(X)","(X)","(X)","(X)"
