"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","4,937,952","±23,910","3,958,871","±26,849","431,414","±14,937","55,608","±4,341"
"    AGE","","","","","","","",""
"        16 to 19 years","3.9%","±0.2","3.4%","±0.2","7.7%","±0.7","3.0%","±1.1"
"        20 to 24 years","9.5%","±0.2","9.3%","±0.2","11.4%","±0.9","13.7%","±2.8"
"        25 to 44 years","43.1%","±0.3","42.9%","±0.3","47.1%","±1.6","49.1%","±4.6"
"        45 to 54 years","21.2%","±0.2","21.5%","±0.3","18.6%","±1.1","20.5%","±3.6"
"        55 to 59 years","9.5%","±0.2","9.8%","±0.2","7.1%","±0.7","5.6%","±1.5"
"        60 years and over","12.8%","±0.2","13.1%","±0.3","8.2%","±0.7","8.1%","±2.2"
"        Median age (years)","41.8","±0.2","42.2","±0.3","38.1","±0.6","38.3","±1.6"
"    SEX","","","","","","","",""
"        Male","52.1%","±0.3","51.7%","±0.3","53.9%","±1.4","51.0%","±4.8"
"        Female","47.9%","±0.3","48.3%","±0.3","46.1%","±1.4","49.0%","±4.8"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N"
"            White","69.4%","±0.3","70.4%","±0.4","61.6%","±1.6","37.7%","±4.3"
"            Black or African American","20.8%","±0.3","20.7%","±0.3","21.4%","±1.4","44.9%","±4.5"
"            American Indian and Alaska Native","1.1%","±0.1","1.1%","±0.1","0.9%","±0.2","1.0%","±0.8"
"            Asian","3.2%","±0.1","2.9%","±0.1","4.9%","±0.7","9.0%","±2.7"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"            Some other race","3.4%","±0.2","2.8%","±0.2","8.5%","±0.9","4.4%","±1.5"
"        Two or more races","2.1%","±0.2","2.1%","±0.2","2.6%","±0.5","2.6%","±1.1"
"        Hispanic or Latino origin (of any race)","9.2%","±0.2","7.9%","±0.2","20.8%","±1.2","10.7%","±2.2"
"        White alone, not Hispanic or Latino","64.1%","±0.2","65.8%","±0.3","50.3%","±1.4","31.9%","±3.8"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"        Native","88.9%","±0.3","90.2%","±0.3","78.2%","±1.3","80.8%","±3.9"
"        Foreign born","11.1%","±0.3","9.8%","±0.3","21.8%","±1.3","19.2%","±3.9"
"            Naturalized U.S. citizen","4.7%","±0.2","4.6%","±0.2","6.2%","±0.8","6.7%","±2.0"
"            Not a U.S. citizen","6.4%","±0.2","5.2%","±0.2","15.6%","±1.2","12.5%","±3.5"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"        Speak language other than English","12.8%","±0.2","11.2%","±0.3","26.2%","±1.3","17.4%","±3.2"
"            Speak English ""very well""","7.8%","±0.2","7.3%","±0.3","12.0%","±1.0","11.7%","±2.5"
"            Speak English less than ""very well""","5.0%","±0.2","4.0%","±0.2","14.2%","±1.2","5.8%","±2.0"
"EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","4,936,868","±23,933","3,958,503","±26,864","431,243","±14,915","55,608","±4,341"
"        $1 to $9,999 or loss","11.9%","±0.3","10.5%","±0.3","17.9%","±1.2","24.7%","±4.5"
"        $10,000 to $14,999","6.5%","±0.2","6.2%","±0.2","8.1%","±0.9","9.8%","±2.6"
"        $15,000 to $24,999","14.5%","±0.3","14.0%","±0.4","20.4%","±1.4","17.1%","±3.2"
"        $25,000 to $34,999","14.8%","±0.3","14.9%","±0.4","17.3%","±1.3","16.5%","±2.8"
"        $35,000 to $49,999","18.3%","±0.4","19.3%","±0.4","16.2%","±1.0","11.5%","±2.9"
"        $50,000 to $64,999","12.0%","±0.3","13.0%","±0.3","8.1%","±0.8","4.6%","±1.2"
"        $65,000 to $74,999","4.8%","±0.2","5.1%","±0.2","3.0%","±0.4","3.1%","±1.5"
"        $75,000 or more","17.3%","±0.3","17.0%","±0.3","9.0%","±0.7","12.7%","±2.5"
"        Median earnings (dollars)","36,308","±202","37,353","±239","26,454","±611","23,854","±2,972"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","4,878,089","±24,075","3,939,987","±27,218","420,579","±14,790","55,069","±4,280"
"        Below 100 percent of the poverty level","6.3%","±0.3","5.4%","±0.3","10.2%","±0.9","21.2%","±4.6"
"        100 to 149 percent of the poverty level","6.3%","±0.3","5.9%","±0.3","9.7%","±1.2","12.7%","±2.8"
"        At or above 150 percent of the poverty level","87.4%","±0.4","88.7%","±0.3","80.1%","±1.4","66.1%","±5.1"
"Workers 16 years and over","4,937,952","±23,910","3,958,871","±26,849","431,414","±14,937","55,608","±4,341"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","39.0%","±0.5","39.2%","±0.5","27.4%","±1.2","33.9%","±3.6"
"        Service occupations","16.6%","±0.3","16.3%","±0.3","20.6%","±1.3","29.7%","±3.8"
"        Sales and office occupations","19.9%","±0.3","20.2%","±0.4","16.1%","±1.1","19.9%","±3.4"
"        Natural resources, construction, and maintenance occupations","9.6%","±0.3","8.9%","±0.3","18.1%","±1.2","4.8%","±1.5"
"        Production, transportation, and material moving occupations","14.0%","±0.3","14.4%","±0.3","16.9%","±1.2","11.7%","±3.3"
"        Military specific occupations","0.9%","±0.1","0.8%","±0.1","1.0%","±0.3","0.0%","±0.3"
"    INDUSTRY","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","1.1%","±0.1","0.9%","±0.1","1.9%","±0.5","0.7%","±0.6"
"        Construction","7.5%","±0.2","6.7%","±0.3","14.2%","±1.1","3.2%","±1.5"
"        Manufacturing","11.6%","±0.2","12.2%","±0.3","12.4%","±1.2","6.1%","±2.2"
"        Wholesale trade","2.5%","±0.1","2.5%","±0.2","1.5%","±0.3","0.9%","±0.7"
"        Retail trade","10.9%","±0.3","11.4%","±0.3","10.3%","±0.8","10.4%","±2.4"
"        Transportation and warehousing, and utilities","5.0%","±0.2","5.2%","±0.2","3.4%","±0.6","3.5%","±1.7"
"        Information and finance and insurance, and real estate and rental and leasing","7.9%","±0.2","7.6%","±0.2","4.9%","±0.7","10.9%","±2.3"
"        Professional, scientific, management, and administrative and waste management services","11.0%","±0.3","9.8%","±0.3","9.1%","±0.8","13.3%","±3.0"
"        Educational services, and health care and social assistance","22.2%","±0.4","23.4%","±0.4","19.2%","±1.2","24.8%","±4.0"
"        Arts, entertainment, and recreation, and accommodation and food services","9.7%","±0.3","9.3%","±0.3","13.3%","±1.2","23.6%","±4.2"
"        Other services (except public administration)","4.7%","±0.2","4.8%","±0.2","4.4%","±0.6","1.3%","±0.7"
"        Public administration","3.9%","±0.1","4.4%","±0.2","2.4%","±0.5","1.1%","±0.8"
"        Armed forces","2.0%","±0.1","1.7%","±0.1","3.0%","±0.5","0.4%","±0.4"
"    CLASS OF WORKER","","","","","","","",""
"        Private wage and salary workers","79.3%","±0.3","79.9%","±0.4","79.9%","±1.2","83.7%","±2.7"
"        Government workers","14.9%","±0.3","15.6%","±0.3","14.4%","±1.0","14.1%","±2.6"
"        Self-employed workers in own not incorporated business","5.5%","±0.2","4.3%","±0.2","5.5%","±0.7","2.0%","±1.6"
"        Unpaid family workers","0.3%","±0.1","0.2%","±0.1","0.2%","±0.1","0.2%","±0.2"
"    PLACE OF WORK","","","","","","","",""
"        Worked in state of residence","97.4%","±0.1","97.5%","±0.1","96.6%","±0.7","98.4%","±0.7"
"            Worked in county of residence","71.0%","±0.3","68.0%","±0.4","69.9%","±1.3","84.2%","±3.0"
"            Worked outside county of residence","26.4%","±0.3","29.5%","±0.4","26.7%","±1.2","14.2%","±3.1"
"        Worked outside state of residence","2.6%","±0.1","2.5%","±0.1","3.4%","±0.7","1.6%","±0.7"
"Workers 16 years and over who did not work from home","4,606,696","±24,999","3,958,871","±26,849","431,414","±14,937","55,608","±4,341"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","4.0%","±0.2","3.9%","±0.2","4.8%","±0.7","2.6%","±1.1"
"        5:00 a.m. to 5:29 a.m.","3.4%","±0.2","3.2%","±0.2","4.9%","±0.7","3.3%","±1.7"
"        5:30 a.m. to 5:59 a.m.","4.5%","±0.2","4.6%","±0.2","4.9%","±0.6","2.1%","±1.1"
"        6:00 a.m. to 6:29 a.m.","9.2%","±0.3","9.2%","±0.3","9.9%","±1.0","7.4%","±1.8"
"        6:30 a.m. to 6:59 a.m.","10.3%","±0.3","10.5%","±0.3","10.7%","±0.9","6.8%","±1.9"
"        7:00 a.m. to 7:29 a.m.","15.3%","±0.3","15.5%","±0.3","16.4%","±1.1","13.7%","±2.8"
"        7:30 a.m. to 7:59 a.m.","13.1%","±0.3","13.6%","±0.3","11.0%","±1.0","10.2%","±2.1"
"        8:00 a.m. to 8:29 a.m.","11.1%","±0.3","11.3%","±0.4","8.6%","±0.9","14.3%","±3.5"
"        8:30 a.m. to 8:59 a.m.","5.4%","±0.2","5.5%","±0.2","4.5%","±0.6","7.6%","±2.2"
"        9:00 a.m. to 11:59 p.m.","23.5%","±0.3","22.7%","±0.4","24.5%","±1.2","32.0%","±3.6"
"    TRAVEL TIME TO WORK","","","","","","","",""
"        Less than 10 minutes","11.8%","±0.3","10.7%","±0.3","12.5%","±1.0","1.9%","±1.2"
"        10 to 14 minutes","14.2%","±0.3","14.3%","±0.3","12.9%","±1.2","8.3%","±2.3"
"        15 to 19 minutes","16.6%","±0.4","17.0%","±0.4","15.0%","±1.1","11.0%","±3.0"
"        20 to 24 minutes","15.1%","±0.4","15.7%","±0.4","12.8%","±1.0","9.7%","±2.5"
"        25 to 29 minutes","7.1%","±0.2","7.3%","±0.3","6.4%","±0.7","5.9%","±2.2"
"        30 to 34 minutes","13.4%","±0.3","13.5%","±0.3","14.6%","±1.1","16.0%","±3.2"
"        35 to 44 minutes","7.2%","±0.2","7.3%","±0.3","7.1%","±0.8","9.6%","±2.6"
"        45 to 59 minutes","7.6%","±0.2","7.6%","±0.3","8.2%","±0.9","13.6%","±3.0"
"        60 or more minutes","7.1%","±0.3","6.4%","±0.3","10.5%","±1.0","24.1%","±3.8"
"        Mean travel time to work (minutes)","25.7","±0.2","25.3","±0.2","28.7","±0.8","39.2","±2.2"
"Workers 16 years and over in households","4,870,421","±24,268","3,939,646","±27,144","417,836","±14,596","52,564","±4,174"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","67.0%","±0.5","68.6%","±0.6","57.6%","±1.7","35.3%","±4.2"
"        Renter-occupied housing units","33.0%","±0.5","31.4%","±0.6","42.4%","±1.7","64.7%","±4.2"
"    VEHICLES AVAILABLE","","","","","","","",""
"        No vehicle available","2.4%","±0.2","1.1%","±0.1","5.0%","±0.7","28.0%","±4.4"
"        1 vehicle available","19.3%","±0.4","18.2%","±0.4","25.6%","±1.5","30.7%","±4.1"
"        2 vehicles available","40.8%","±0.5","41.6%","±0.6","35.3%","±1.7","26.4%","±4.0"
"        3 or more vehicles available","37.6%","±0.5","39.1%","±0.5","34.1%","±1.4","14.9%","±3.3"
"PERCENT ALLOCATED","","","","","","","",""
"    Means of transportation to work","10.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","20.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","15.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
