"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","4,119,560","±24,651","3,372,823","±21,616","414,493","±12,019","43,004","±3,596"
"AGE","","","","","","","",""
"    16 to 19 years","3.2%","±0.2","2.8%","±0.1","5.3%","±0.7","4.8%","±1.7"
"    20 to 24 years","9.6%","±0.2","8.7%","±0.2","14.5%","±1.1","12.5%","±2.8"
"    25 to 44 years","45.1%","±0.3","45.3%","±0.4","47.4%","±1.2","50.2%","±4.6"
"    45 to 54 years","23.0%","±0.2","23.4%","±0.3","20.6%","±1.0","16.5%","±3.4"
"    55 to 59 years","9.1%","±0.2","9.4%","±0.2","6.1%","±0.6","8.0%","±2.4"
"    60 years and over","10.0%","±0.2","10.3%","±0.2","6.1%","±0.6","7.9%","±2.1"
"Median age (years)","41.7","±0.2","42.1","±0.2","37.5","±0.6","36.2","±2.8"
"SEX","","","","","","","",""
"    Male","52.3%","±0.2","51.1%","±0.3","57.4%","±1.5","50.0%","±4.0"
"    Female","47.7%","±0.2","48.9%","±0.3","42.6%","±1.5","50.0%","±4.0"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","73.1%","±0.3","74.4%","±0.3","64.0%","±1.4","42.3%","±5.3"
"        Black or African American","19.0%","±0.3","18.8%","±0.3","20.1%","±1.2","44.4%","±5.8"
"        American Indian and Alaska Native","0.9%","±0.1","0.9%","±0.1","1.3%","±0.4","0.8%","±0.6"
"        Asian","2.4%","±0.1","2.2%","±0.1","3.6%","±0.5","6.1%","±2.3"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","3.0%","±0.2","2.3%","±0.2","8.6%","±0.8","4.6%","±2.4"
"    Two or more races","1.5%","±0.1","1.4%","±0.1","2.5%","±0.5","1.7%","±0.9"
"Hispanic or Latino origin (of any race)","7.7%","±0.2","6.2%","±0.2","19.8%","±1.3","10.3%","±3.1"
"White alone, not Hispanic or Latino","68.9%","±0.3","70.9%","±0.3","54.3%","±1.5","37.5%","±5.2"
"CITIZENSHIP STATUS","","","","","","","",""
"    Native","90.0%","±0.2","91.7%","±0.2","77.5%","±1.5","83.2%","±3.4"
"    Foreign born","10.0%","±0.2","8.3%","±0.2","22.5%","±1.5","16.8%","±3.4"
"        Naturalized U.S. citizen","3.1%","±0.1","3.0%","±0.1","4.2%","±0.7","2.9%","±1.7"
"        Not a U.S. citizen","6.8%","±0.2","5.3%","±0.2","18.3%","±1.4","13.9%","±3.1"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Speak language other than English","11.3%","±0.2","9.6%","±0.3","24.7%","±1.5","17.3%","±3.3"
"        Speak English ""very well""","5.9%","±0.2","5.5%","±0.2","9.0%","±1.0","5.7%","±1.6"
"        Speak English less than ""very well""","5.4%","±0.2","4.1%","±0.2","15.8%","±1.3","11.6%","±3.2"
"EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","4,118,613","±24,659","3,372,356","±21,595","414,450","±12,024","43,004","±3,596"
"    $1 to $9,999 or loss","14.9%","±0.3","13.2%","±0.3","21.8%","±1.1","24.7%","±4.0"
"    $10,000 to $14,999","8.8%","±0.2","8.2%","±0.3","12.0%","±0.9","13.8%","±2.6"
"    $15,000 to $24,999","17.5%","±0.4","17.0%","±0.4","22.0%","±1.3","21.9%","±3.3"
"    $25,000 to $34,999","16.9%","±0.3","17.4%","±0.4","16.0%","±1.1","16.5%","±3.3"
"    $35,000 to $49,999","17.5%","±0.4","18.7%","±0.4","13.2%","±1.0","10.1%","±2.7"
"    $50,000 to $64,999","9.9%","±0.2","10.6%","±0.3","7.4%","±0.7","4.9%","±1.6"
"    $65,000 to $74,999","3.7%","±0.1","3.9%","±0.2","2.3%","±0.4","1.7%","±0.9"
"    $75,000 or more","10.8%","±0.2","11.1%","±0.2","5.4%","±0.7","6.4%","±2.0"
"Median earnings (dollars)","30,215","±176","31,247","±186","21,845","±467","20,339","±1,927"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","4,072,154","±24,612","3,357,689","±21,653","407,394","±11,589","41,659","±3,474"
"    Below 100 percent of the poverty level","8.2%","±0.2","7.0%","±0.2","13.9%","±1.1","19.4%","±3.9"
"    100 to 149 percent of the poverty level","7.7%","±0.3","7.0%","±0.3","11.8%","±1.0","13.8%","±3.1"
"    At or above 150 percent of the poverty level","84.2%","±0.3","86.0%","±0.4","74.3%","±1.5","66.8%","±4.6"
"Workers 16 years and over","4,119,560","±24,651","3,372,823","±21,616","414,493","±12,019","43,004","±3,596"
"OCCUPATION","","","","","","","",""
"    Management, business, science, and arts occupations","34.7%","±0.4","35.4%","±0.4","25.0%","±1.1","29.1%","±4.1"
"    Service occupations","16.9%","±0.4","16.3%","±0.4","20.2%","±1.2","31.9%","±4.5"
"    Sales and office occupations","24.2%","±0.4","25.4%","±0.4","17.6%","±1.1","24.2%","±3.8"
"    Natural resources, construction, and maintenance occupations","10.0%","±0.2","8.9%","±0.2","20.1%","±1.2","5.1%","±1.7"
"    Production, transportation, and material moving occupations","13.0%","±0.3","13.0%","±0.4","15.9%","±1.0","8.2%","±2.2"
"    Military specific occupations","1.2%","±0.1","1.0%","±0.1","1.1%","±0.4","1.5%","±2.0"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting, and mining","1.3%","±0.1","1.0%","±0.1","2.3%","±0.4","1.0%","±1.0"
"    Construction","6.7%","±0.2","5.7%","±0.2","14.8%","±1.2","2.6%","±1.5"
"    Manufacturing","12.2%","±0.3","12.8%","±0.4","12.3%","±0.8","4.3%","±1.8"
"    Wholesale trade","3.0%","±0.2","3.0%","±0.2","2.9%","±0.6","1.5%","±1.0"
"    Retail trade","11.7%","±0.3","12.4%","±0.3","9.1%","±0.9","12.2%","±3.0"
"    Transportation and warehousing, and utilities","4.1%","±0.2","4.3%","±0.2","3.2%","±0.5","2.6%","±1.4"
"    Information and finance and insurance, and real estate and rental and leasing","7.9%","±0.3","8.2%","±0.3","3.9%","±0.7","10.0%","±2.4"
"    Professional, scientific, management, and administrative and waste management services","9.3%","±0.3","8.6%","±0.3","9.0%","±0.9","8.4%","±3.1"
"    Educational services, and health care and social assistance","22.8%","±0.4","23.5%","±0.4","19.8%","±1.3","27.5%","±3.7"
"    Arts, entertainment, and recreation, and accommodation and food services","9.0%","±0.3","8.6%","±0.3","11.8%","±1.1","20.0%","±3.8"
"    Other services (except public administration)","5.0%","±0.2","4.8%","±0.2","4.8%","±0.6","5.7%","±2.0"
"    Public administration","4.8%","±0.2","5.2%","±0.2","3.5%","±0.6","2.3%","±1.0"
"    Armed forces","2.1%","±0.1","1.8%","±0.1","2.6%","±0.5","1.8%","±2.1"
"CLASS OF WORKER","","","","","","","",""
"    Private wage and salary workers","77.0%","±0.4","77.7%","±0.4","77.5%","±1.2","77.5%","±3.8"
"    Government workers","17.2%","±0.3","17.9%","±0.3","15.7%","±1.0","18.4%","±3.6"
"    Self-employed workers in own not incorporated business","5.7%","±0.2","4.3%","±0.2","6.7%","±0.8","4.1%","±2.0"
"    Unpaid family workers","0.1%","±0.1","0.1%","±0.1","0.1%","±0.1","0.0%","±0.4"
"PLACE OF WORK","","","","","","","",""
"    Worked in state of residence","97.4%","±0.1","97.6%","±0.1","96.4%","±0.7","97.4%","±1.6"
"        Worked in county of residence","72.0%","±0.3","70.4%","±0.4","69.0%","±1.1","81.9%","±3.2"
"        Worked outside county of residence","25.4%","±0.3","27.2%","±0.4","27.5%","±1.1","15.5%","±3.4"
"    Worked outside state of residence","2.6%","±0.1","2.4%","±0.1","3.6%","±0.7","2.6%","±1.6"
"Workers 16 years and over who did not work at home","3,953,050","±23,789","3,372,823","±21,616","414,493","±12,019","43,004","±3,596"
"TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"    12:00 a.m. to 4:59 a.m.","3.6%","±0.2","3.5%","±0.2","4.2%","±0.6","2.9%","±2.0"
"    5:00 a.m. to 5:29 a.m.","3.2%","±0.2","3.1%","±0.2","3.9%","±0.6","1.2%","±0.8"
"    5:30 a.m. to 5:59 a.m.","4.6%","±0.2","4.3%","±0.2","6.9%","±0.7","3.5%","±1.6"
