"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Male!!Estimate","North Carolina!!Male!!Margin of Error","North Carolina!!Female!!Estimate","North Carolina!!Female!!Margin of Error"
"Workers 16 years and over","4,263,889","±22,148","2,233,243","±13,152","2,030,646","±14,973"
"MEANS OF TRANSPORTATION TO WORK","","","","","",""
"    Car, truck, or van","91.1%","±0.2","90.2%","±0.3","92.1%","±0.3"
"        Drove alone","80.6%","±0.3","78.6%","±0.5","82.7%","±0.4"
"        Carpooled","10.5%","±0.2","11.5%","±0.3","9.4%","±0.3"
"            In 2-person carpool","8.0%","±0.2","8.4%","±0.3","7.5%","±0.3"
"            In 3-person carpool","1.5%","±0.1","1.7%","±0.2","1.2%","±0.1"
"            In 4-or-more person carpool","1.1%","±0.1","1.4%","±0.1","0.7%","±0.1"
"        Workers per car, truck, or van","1.07","±0.01","1.08","±0.01","1.06","±0.01"
"    Public transportation (excluding taxicab)","1.1%","±0.1","1.2%","±0.1","1.1%","±0.1"
"    Walked","1.9%","±0.1","2.3%","±0.2","1.5%","±0.1"
"    Bicycle","0.3%","±0.1","0.4%","±0.1","0.1%","±0.1"
"    Taxicab, motorcycle, or other means","1.1%","±0.1","1.3%","±0.1","0.8%","±0.1"
"    Worked at home","4.5%","±0.2","4.6%","±0.2","4.4%","±0.2"
"PLACE OF WORK","","","","","",""
"    Worked in state of residence","97.4%","±0.1","96.7%","±0.2","98.2%","±0.2"
"        Worked in county of residence","71.9%","±0.3","69.7%","±0.5","74.4%","±0.4"
"        Worked outside county of residence","25.5%","±0.3","27.0%","±0.5","23.8%","±0.4"
"    Worked outside state of residence","2.6%","±0.1","3.3%","±0.2","1.8%","±0.2"
"Living in a place","60.9%","±0.4","60.2%","±0.5","61.6%","±0.5"
"    Worked in place of residence","31.3%","±0.3","29.8%","±0.4","33.1%","±0.5"
"    Worked outside place of residence","29.5%","±0.4","30.5%","±0.5","28.5%","±0.5"
"Not living in a place","39.1%","±0.4","39.8%","±0.5","38.4%","±0.5"
"Living in 12 selected states","N","N","N","N","N","N"
"    Worked in minor civil division of residence","N","N","N","N","N","N"
"    Worked outside minor civil division of residence","N","N","N","N","N","N"
"Not living in 12 selected states","N","N","N","N","N","N"
"Workers 16 years and over who did not work at home","4,072,520","±23,332","2,130,325","±13,992","1,942,195","±15,258"
"TIME LEAVING HOME TO GO TO WORK","","","","","",""
"    12:00 a.m. to 4:59 a.m.","3.5%","±0.1","4.5%","±0.2","2.4%","±0.2"
"    5:00 a.m. to 5:29 a.m.","3.5%","±0.2","4.8%","±0.2","2.1%","±0.2"
"    5:30 a.m. to 5:59 a.m.","4.4%","±0.2","5.6%","±0.3","3.1%","±0.2"
"    6:00 a.m. to 6:29 a.m.","8.5%","±0.2","10.2%","±0.4","6.7%","±0.3"
"    6:30 a.m. to 6:59 a.m.","10.2%","±0.3","11.1%","±0.4","9.1%","±0.3"
"    7:00 a.m. to 7:29 a.m.","15.6%","±0.3","15.2%","±0.4","16.0%","±0.4"
"    7:30 a.m. to 7:59 a.m.","14.1%","±0.3","12.0%","±0.4","16.4%","±0.4"
"    8:00 a.m. to 8:29 a.m.","11.0%","±0.3","10.2%","±0.4","11.8%","±0.4"
"    8:30 a.m. to 8:59 a.m.","5.6%","±0.2","4.8%","±0.2","6.6%","±0.3"
"    9:00 a.m. to 11:59 p.m.","23.7%","±0.4","21.7%","±0.5","25.8%","±0.5"
"TRAVEL TIME TO WORK","","","","","",""
"    Less than 10 minutes","13.3%","±0.3","12.9%","±0.3","13.7%","±0.4"
"    10 to 14 minutes","15.4%","±0.3","14.4%","±0.4","16.5%","±0.4"
"    15 to 19 minutes","17.8%","±0.3","16.8%","±0.5","18.9%","±0.5"
"    20 to 24 minutes","15.9%","±0.3","15.3%","±0.4","16.6%","±0.4"
"    25 to 29 minutes","6.7%","±0.2","6.4%","±0.3","7.0%","±0.4"
"    30 to 34 minutes","12.8%","±0.3","13.4%","±0.4","12.0%","±0.3"
"    35 to 44 minutes","6.1%","±0.2","6.4%","±0.3","5.8%","±0.3"
"    45 to 59 minutes","6.4%","±0.2","7.1%","±0.3","5.6%","±0.3"
"    60 or more minutes","5.6%","±0.2","7.2%","±0.3","3.9%","±0.2"
"    Mean travel time to work (minutes)","23.7","±0.2","25.3","±0.3","22.0","±0.2"
"VEHICLES AVAILABLE","","","","","",""
"    Workers 16 years and over in households","4,217,096","±21,900","2,201,111","±12,806","2,015,985","±14,688"
"    No vehicle available","2.7%","±0.2","2.8%","±0.2","2.5%","±0.2"
"    1 vehicle available","21.1%","±0.4","18.2%","±0.5","24.2%","±0.5"
"    2 vehicles available","43.0%","±0.5","44.5%","±0.6","41.3%","±0.6"
"    3 or more vehicles available","33.3%","±0.5","34.6%","±0.6","31.9%","±0.7"
"PERCENT IMPUTED","","","","","",""
"    Means of transportation to work","5.4%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","6.7%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","7.4%","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","11.4%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","8.8%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.0%","(X)","(X)","(X)","(X)","(X)"
