"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Male!!Estimate","North Carolina!!Male!!Margin of Error","North Carolina!!Female!!Estimate","North Carolina!!Female!!Margin of Error"
"Workers 16 years and over","4,937,952","±23,910","2,573,460","±16,544","2,364,492","±19,649"
"    MEANS OF TRANSPORTATION TO WORK","","","","","",""
"        Car, truck, or van","88.9%","±0.3","88.5%","±0.4","89.3%","±0.4"
"            Drove alone","80.2%","±0.4","79.5%","±0.4","80.9%","±0.5"
"            Carpooled","8.7%","±0.3","9.0%","±0.4","8.4%","±0.4"
"                In 2-person carpool","6.4%","±0.2","6.4%","±0.3","6.3%","±0.3"
"                In 3-person carpool","1.3%","±0.1","1.3%","±0.1","1.3%","±0.1"
"                In 4-or-more person carpool","1.1%","±0.1","1.4%","±0.2","0.8%","±0.1"
"            Workers per car, truck, or van","1.06","±0.01","1.06","±0.01","1.05","±0.01"
"        Public transportation (excluding taxicab)","1.1%","±0.1","1.1%","±0.1","1.2%","±0.1"
"        Walked","1.8%","±0.1","2.0%","±0.2","1.5%","±0.2"
"        Bicycle","0.2%","±0.1","0.2%","±0.1","0.1%","±0.1"
"        Taxicab, motorcycle, or other means","1.3%","±0.1","1.6%","±0.2","1.0%","±0.1"
"        Worked from home","6.7%","±0.2","6.6%","±0.3","6.9%","±0.3"
"    PLACE OF WORK","","","","","",""
"        Worked in state of residence","97.4%","±0.1","96.8%","±0.2","98.1%","±0.2"
"            Worked in county of residence","71.0%","±0.3","68.8%","±0.5","73.5%","±0.5"
"            Worked outside county of residence","26.4%","±0.3","28.0%","±0.4","24.7%","±0.5"
"        Worked outside state of residence","2.6%","±0.1","3.2%","±0.2","1.9%","±0.2"
"        Living in a place","62.7%","±0.5","61.8%","±0.5","63.7%","±0.6"
"            Worked in place of residence","32.0%","±0.3","30.8%","±0.4","33.2%","±0.5"
"            Worked outside place of residence","30.8%","±0.4","31.0%","±0.5","30.5%","±0.5"
"        Not living in a place","37.3%","±0.5","38.2%","±0.5","36.3%","±0.6"
"        Living in 12 selected states","N","N","N","N","N","N"
"            Worked in minor civil division of residence","N","N","N","N","N","N"
"            Worked outside minor civil division of residence","N","N","N","N","N","N"
"        Not living in 12 selected states","N","N","N","N","N","N"
"Workers 16 years and over who did not work from home","4,606,696","±24,999","2,404,370","±16,732","2,202,326","±20,467"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","",""
"        12:00 a.m. to 4:59 a.m.","4.0%","±0.2","5.1%","±0.3","2.8%","±0.2"
"        5:00 a.m. to 5:29 a.m.","3.4%","±0.2","4.5%","±0.3","2.3%","±0.2"
"        5:30 a.m. to 5:59 a.m.","4.5%","±0.2","5.7%","±0.3","3.2%","±0.2"
"        6:00 a.m. to 6:29 a.m.","9.2%","±0.3","10.8%","±0.4","7.4%","±0.4"
"        6:30 a.m. to 6:59 a.m.","10.3%","±0.3","11.0%","±0.4","9.6%","±0.4"
"        7:00 a.m. to 7:29 a.m.","15.3%","±0.3","14.8%","±0.5","15.8%","±0.5"
"        7:30 a.m. to 7:59 a.m.","13.1%","±0.3","11.6%","±0.4","14.7%","±0.4"
"        8:00 a.m. to 8:29 a.m.","11.1%","±0.3","10.5%","±0.4","11.8%","±0.4"
"        8:30 a.m. to 8:59 a.m.","5.4%","±0.2","4.6%","±0.2","6.3%","±0.3"
"        9:00 a.m. to 11:59 p.m.","23.5%","±0.3","21.4%","±0.5","25.9%","±0.5"
"    TRAVEL TIME TO WORK","","","","","",""
"        Less than 10 minutes","11.8%","±0.3","11.7%","±0.4","12.0%","±0.4"
"        10 to 14 minutes","14.2%","±0.3","13.5%","±0.4","15.0%","±0.4"
"        15 to 19 minutes","16.6%","±0.4","16.0%","±0.5","17.3%","±0.5"
"        20 to 24 minutes","15.1%","±0.4","14.7%","±0.4","15.6%","±0.5"
"        25 to 29 minutes","7.1%","±0.2","6.8%","±0.3","7.3%","±0.3"
"        30 to 34 minutes","13.4%","±0.3","13.6%","±0.4","13.1%","±0.5"
"        35 to 44 minutes","7.2%","±0.2","7.2%","±0.3","7.1%","±0.4"
"        45 to 59 minutes","7.6%","±0.2","7.8%","±0.4","7.3%","±0.4"
"        60 or more minutes","7.1%","±0.3","8.6%","±0.4","5.4%","±0.3"
"        Mean travel time to work (minutes)","25.7","±0.2","26.9","±0.3","24.3","±0.2"
"VEHICLES AVAILABLE","","","","","",""
"    Workers 16 years and over in households","4,870,421","±24,268","2,524,512","±16,792","2,345,909","±19,841"
"        No vehicle available","2.4%","±0.2","2.4%","±0.2","2.3%","±0.2"
"        1 vehicle available","19.3%","±0.4","16.4%","±0.5","22.3%","±0.5"
"        2 vehicles available","40.8%","±0.5","41.9%","±0.6","39.5%","±0.6"
"        3 or more vehicles available","37.6%","±0.5","39.3%","±0.6","35.8%","±0.5"
"PERCENT ALLOCATED","","","","","",""
"    Means of transportation to work","10.8%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","12.4%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","14.1%","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","20.5%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","15.4%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.4%","(X)","(X)","(X)","(X)","(X)"
