"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","4,858,875","±25,677","3,918,502","±24,535","452,538","±15,187","47,231","±4,231"
"    AGE","","","","","","","",""
"        16 to 19 years","3.8%","±0.2","3.2%","±0.2","7.6%","±0.8","3.8%","±1.4"
"        20 to 24 years","9.3%","±0.2","8.9%","±0.2","11.5%","±0.9","11.8%","±2.9"
"        25 to 44 years","43.1%","±0.2","42.9%","±0.3","47.2%","±1.3","50.8%","±4.3"
"        45 to 54 years","21.6%","±0.2","22.3%","±0.3","18.5%","±1.0","14.8%","±3.0"
"        55 to 59 years","9.5%","±0.2","9.7%","±0.2","6.9%","±0.7","9.4%","±2.1"
"        60 years and over","12.8%","±0.2","13.0%","±0.3","8.3%","±0.7","9.4%","±2.6"
"        Median age (years)","42.1","±0.2","42.6","±0.2","37.8","±0.5","37.0","±1.7"
"    SEX","","","","","","","",""
"        Male","52.4%","±0.2","51.9%","±0.3","53.9%","±1.2","51.2%","±4.0"
"        Female","47.6%","±0.2","48.1%","±0.3","46.1%","±1.2","48.8%","±4.0"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N"
"            White","70.1%","±0.2","71.0%","±0.3","61.6%","±1.5","41.4%","±4.6"
"            Black or African American","20.5%","±0.2","20.3%","±0.3","22.7%","±1.3","41.4%","±4.7"
"            American Indian and Alaska Native","1.0%","±0.1","1.0%","±0.1","1.1%","±0.3","1.1%","±0.8"
"            Asian","3.3%","±0.1","3.0%","±0.1","5.0%","±0.6","8.0%","±2.3"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"            Some other race","3.0%","±0.2","2.6%","±0.2","6.4%","±0.9","3.9%","±1.7"
"        Two or more races","2.1%","±0.1","1.9%","±0.1","3.3%","±0.7","4.2%","±1.8"
"        Hispanic or Latino origin (of any race)","9.1%","±0.1","8.0%","±0.2","18.0%","±1.1","13.7%","±3.1"
"        White alone, not Hispanic or Latino","64.7%","±0.2","66.2%","±0.3","51.4%","±1.4","33.8%","±4.2"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"        Native","89.1%","±0.3","90.3%","±0.2","80.2%","±1.3","75.5%","±3.9"
"        Foreign born","10.9%","±0.3","9.7%","±0.2","19.8%","±1.3","24.5%","±3.9"
"            Naturalized U.S. citizen","4.4%","±0.2","4.3%","±0.2","5.2%","±0.6","6.7%","±2.5"
"            Not a U.S. citizen","6.5%","±0.2","5.3%","±0.2","14.6%","±1.2","17.8%","±3.5"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"        Speak language other than English","12.8%","±0.3","11.5%","±0.3","23.2%","±1.3","25.6%","±3.9"
"            Speak English ""very well""","7.5%","±0.2","7.0%","±0.2","10.4%","±1.0","16.0%","±3.3"
"            Speak English less than ""very well""","5.3%","±0.2","4.5%","±0.2","12.8%","±1.1","9.6%","±2.7"
"EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","4,858,228","±25,724","3,918,119","±24,526","452,538","±15,187","47,231","±4,231"
"        $1 to $9,999 or loss","12.0%","±0.3","10.5%","±0.3","18.9%","±1.1","26.6%","±4.5"
"        $10,000 to $14,999","6.8%","±0.2","6.4%","±0.3","8.6%","±0.8","9.6%","±2.7"
"        $15,000 to $24,999","15.4%","±0.3","14.8%","±0.3","21.1%","±1.2","17.2%","±3.4"
"        $25,000 to $34,999","15.3%","±0.3","15.7%","±0.4","16.6%","±1.2","11.3%","±2.6"
"        $35,000 to $49,999","17.9%","±0.3","19.1%","±0.3","14.4%","±0.9","10.2%","±2.7"
"        $50,000 to $64,999","11.8%","±0.2","12.5%","±0.3","8.8%","±0.9","10.7%","±2.9"
"        $65,000 to $74,999","4.5%","±0.2","4.7%","±0.2","3.0%","±0.5","2.4%","±1.1"
"        $75,000 or more","16.3%","±0.3","16.4%","±0.4","8.7%","±0.8","12.0%","±2.7"
"        Median earnings (dollars)","35,308","±233","36,505","±247","25,550","±572","22,392","±2,731"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","4,803,382","±25,323","3,902,392","±24,520","443,060","±14,969","46,882","±4,220"
"        Below 100 percent of the poverty level","6.7%","±0.3","5.7%","±0.2","11.3%","±0.9","21.3%","±4.0"
"        100 to 149 percent of the poverty level","6.4%","±0.2","6.1%","±0.3","9.1%","±0.9","8.9%","±2.5"
"        At or above 150 percent of the poverty level","86.9%","±0.3","88.2%","±0.3","79.6%","±1.2","69.8%","±4.5"
"Workers 16 years and over","4,858,875","±25,677","3,918,502","±24,535","452,538","±15,187","47,231","±4,231"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","38.1%","±0.4","38.4%","±0.4","27.8%","±1.2","35.9%","±3.8"
"        Service occupations","17.0%","±0.4","16.6%","±0.3","21.6%","±1.2","30.7%","±4.1"
"        Sales and office occupations","20.3%","±0.3","20.7%","±0.4","17.1%","±1.0","16.2%","±3.2"
"        Natural resources, construction, and maintenance occupations","9.1%","±0.2","8.6%","±0.3","15.2%","±1.0","5.1%","±1.8"
"        Production, transportation, and material moving occupations","14.5%","±0.3","14.9%","±0.3","17.7%","±1.1","11.7%","±2.4"
"        Military specific occupations","1.0%","±0.1","0.9%","±0.1","0.7%","±0.2","0.4%","±0.6"
"    INDUSTRY","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","1.4%","±0.1","1.2%","±0.1","1.9%","±0.4","2.3%","±2.0"
