"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","4,626,006","±20,643","3,763,121","±20,164","423,351","±11,949","47,899","±4,227"
"AGE","","","","","","","",""
"    16 to 19 years","3.5%","±0.1","3.1%","±0.1","6.3%","±0.8","5.1%","±1.9"
"    20 to 24 years","9.7%","±0.2","9.2%","±0.2","13.7%","±1.0","14.6%","±3.0"
"    25 to 44 years","43.2%","±0.3","43.1%","±0.3","46.3%","±1.3","51.0%","±3.7"
"    45 to 54 years","22.2%","±0.2","22.5%","±0.2","20.1%","±1.0","16.6%","±2.3"
"    55 to 59 years","9.6%","±0.2","10.0%","±0.2","6.6%","±0.6","5.7%","±1.6"
"    60 years and over","11.8%","±0.2","12.1%","±0.3","6.9%","±0.6","7.0%","±1.7"
"Median age (years)","42.2","±0.2","42.6","±0.2","37.4","±0.5","34.4","±1.6"
"SEX","","","","","","","",""
"    Male","52.4%","±0.3","51.7%","±0.3","56.4%","±1.2","54.4%","±3.8"
"    Female","47.6%","±0.3","48.3%","±0.3","43.6%","±1.2","45.6%","±3.8"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","70.9%","±0.3","72.0%","±0.3","61.2%","±1.4","37.6%","±3.2"
"        Black or African American","20.5%","±0.3","20.2%","±0.3","23.2%","±1.4","46.8%","±5.2"
"        American Indian and Alaska Native","1.0%","±0.1","1.0%","±0.1","1.5%","±0.4","0.6%","±0.5"
"        Asian","2.9%","±0.1","2.6%","±0.1","4.7%","±0.7","7.6%","±2.5"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","2.9%","±0.2","2.6%","±0.2","6.6%","±1.0","4.8%","±2.2"
"    Two or more races","1.7%","±0.1","1.6%","±0.1","2.6%","±0.6","2.6%","±1.4"
"Hispanic or Latino origin (of any race)","8.6%","±0.1","7.4%","±0.2","19.6%","±1.2","11.7%","±2.6"
"White alone, not Hispanic or Latino","65.7%","±0.2","67.5%","±0.3","49.4%","±1.2","31.1%","±3.0"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"    Native","89.4%","±0.2","90.8%","±0.3","78.2%","±1.3","79.3%","±3.7"
"    Foreign born","10.6%","±0.2","9.2%","±0.3","21.8%","±1.3","20.7%","±3.7"
"        Naturalized U.S. citizen","4.2%","±0.2","4.0%","±0.2","4.9%","±0.7","6.6%","±2.4"
"        Not a U.S. citizen","6.4%","±0.2","5.2%","±0.2","16.9%","±1.2","14.1%","±3.4"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Speak language other than English","12.1%","±0.3","10.7%","±0.3","24.8%","±1.3","18.9%","±3.8"
"        Speak English ""very well""","6.8%","±0.2","6.5%","±0.2","9.5%","±1.0","9.3%","±2.8"
"        Speak English less than ""very well""","5.3%","±0.2","4.2%","±0.2","15.4%","±1.2","9.6%","±2.7"
"EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","4,625,532","±20,675","3,763,025","±20,169","423,215","±11,945","47,899","±4,227"
"        $1 to $9,999 or loss","13.3%","±0.3","11.8%","±0.3","20.0%","±1.1","24.0%","±3.6"
"        $10,000 to $14,999","7.7%","±0.2","7.3%","±0.2","10.3%","±0.9","8.3%","±2.0"
"        $15,000 to $24,999","16.0%","±0.4","15.3%","±0.4","21.8%","±1.2","26.1%","±3.2"
"        $25,000 to $34,999","15.7%","±0.4","16.2%","±0.4","16.7%","±1.1","12.0%","±2.6"
"        $35,000 to $49,999","17.4%","±0.3","18.4%","±0.3","14.5%","±1.0","8.6%","±2.0"
"        $50,000 to $64,999","11.4%","±0.2","12.2%","±0.3","7.5%","±0.7","7.5%","±2.1"
"        $65,000 to $74,999","4.2%","±0.2","4.5%","±0.2","2.4%","±0.4","3.2%","±1.1"
"        $75,000 or more","14.3%","±0.3","14.4%","±0.3","7.0%","±0.6","10.3%","±2.1"
"Median earnings (dollars)","32,213","±171","34,318","±576","23,421","±1,066","20,415","±1,519"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","4,581,031","±20,243","3,749,542","±20,019","418,275","±11,997","46,965","±4,156"
"        Below 100 percent of the poverty level","7.4%","±0.3","6.6%","±0.2","13.2%","±0.9","15.4%","±3.4"
"        100 to 149 percent of the poverty level","7.3%","±0.3","6.6%","±0.3","12.0%","±1.2","17.4%","±3.4"
"        At or above 150 percent of the poverty level","85.3%","±0.3","86.8%","±0.3","74.8%","±1.3","67.2%","±4.4"
"Workers 16 years and over","4,626,006","±20,643","3,763,121","±20,164","423,351","±11,949","47,899","±4,227"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","36.8%","±0.4","37.4%","±0.4","25.6%","±1.0","38.8%","±4.3"
"        Service occupations","17.1%","±0.3","16.7%","±0.3","21.4%","±1.1","25.3%","±3.7"
"        Sales and office occupations","22.8%","±0.3","23.3%","±0.4","18.0%","±0.9","19.6%","±3.0"
"        Natural resources, construction, and maintenance occupations","9.2%","±0.2","8.5%","±0.2","17.5%","±1.2","7.0%","±1.9"
"        Production, transportation, and material moving occupations","13.2%","±0.3","13.3%","±0.4","16.9%","±1.0","9.1%","±2.4"
"        Military specific occupations","0.9%","±0.1","0.9%","±0.1","0.6%","±0.2","0.2%","±0.3"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting, and mining","1.3%","±0.1","1.0%","±0.1","2.5%","±0.4","5.3%","±2.2"
"    Construction","6.5%","±0.2","5.9%","±0.2","13.3%","±1.1","2.6%","±1.3"
"    Manufacturing","12.0%","±0.3","12.5%","±0.3","12.8%","±0.7","5.3%","±1.7"
"    Wholesale trade","2.6%","±0.1","2.6%","±0.1","2.2%","±0.5","0.3%","±0.3"
"    Retail trade","11.8%","±0.2","12.3%","±0.3","9.9%","±0.7","8.9%","±2.3"
"    Transportation and warehousing, and utilities","4.4%","±0.2","4.6%","±0.2","3.2%","±0.5","3.6%","±1.3"
"    Information and finance and insurance, and real estate and rental and leasing","8.3%","±0.2","8.2%","±0.3","5.3%","±0.6","7.6%","±1.9"
"    Professional, scientific, management, and administrative and waste management services","10.2%","±0.2","9.3%","±0.2","9.3%","±0.8","10.4%","±2.5"
"    Educational services, and health care and social assistance","22.5%","±0.3","23.5%","±0.4","18.5%","±1.0","27.6%","±4.0"
"    Arts, entertainment, and recreation, and accommodation and food services","9.6%","±0.2","9.1%","±0.2","13.1%","±1.1","21.9%","±4.0"
"    Other services (except public administration)","5.0%","±0.2","4.9%","±0.2","5.4%","±0.6","2.9%","±1.2"
"    Public administration","4.2%","±0.2","4.6%","±0.2","2.7%","±0.4","2.3%","±1.0"
"    Armed forces","1.7%","±0.1","1.5%","±0.1","1.8%","±0.3","1.3%","±1.2"
"CLASS OF WORKER","","","","","","","",""
"    Private wage and salary workers","79.1%","±0.3","79.6%","±0.4","81.5%","±0.9","77.0%","±3.5"
"    Government workers","15.2%","±0.3","16.0%","±0.3","12.8%","±0.7","20.7%","±3.3"
"    Self-employed workers in own not incorporated business","5.6%","±0.2","4.3%","±0.2","5.5%","±0.7","2.2%","±0.9"
