"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Male!!Estimate","North Carolina!!Male!!Margin of Error","North Carolina!!Female!!Estimate","North Carolina!!Female!!Margin of Error"
"Workers 16 years and over","4,348,669","±20,936","2,269,708","±14,117","2,078,961","±13,163"
"MEANS OF TRANSPORTATION TO WORK","","","","","",""
"    Car, truck, or van","91.1%","±0.2","90.8%","±0.3","91.5%","±0.3"
"        Drove alone","81.1%","±0.3","79.9%","±0.4","82.4%","±0.4"
"        Carpooled","10.0%","±0.3","10.9%","±0.4","9.1%","±0.3"
"            In 2-person carpool","7.6%","±0.2","7.9%","±0.3","7.4%","±0.3"
"            In 3-person carpool","1.4%","±0.1","1.6%","±0.2","1.1%","±0.1"
"            In 4-or-more person carpool","1.0%","±0.1","1.4%","±0.2","0.6%","±0.1"
"        Workers per car, truck, or van","1.06","±0.01","1.07","±0.01","1.06","±0.01"
"    Public transportation (excluding taxicab)","1.1%","±0.1","1.0%","±0.1","1.3%","±0.1"
"    Walked","1.9%","±0.1","2.1%","±0.2","1.6%","±0.2"
"    Bicycle","0.2%","±0.1","0.3%","±0.1","0.1%","±0.1"
"    Taxicab, motorcycle, or other means","1.1%","±0.1","1.4%","±0.2","0.9%","±0.1"
"    Worked at home","4.5%","±0.2","4.5%","±0.2","4.6%","±0.2"
"PLACE OF WORK","","","","","",""
"    Worked in state of residence","97.5%","±0.1","96.8%","±0.2","98.4%","±0.1"
"        Worked in county of residence","71.7%","±0.4","69.3%","±0.5","74.3%","±0.5"
"        Worked outside county of residence","25.8%","±0.4","27.5%","±0.5","24.0%","±0.5"
"    Worked outside state of residence","2.5%","±0.1","3.2%","±0.2","1.6%","±0.1"
"Living in a place","61.0%","±0.4","60.2%","±0.5","61.9%","±0.5"
"    Worked in place of residence","31.4%","±0.3","29.7%","±0.5","33.3%","±0.4"
"    Worked outside place of residence","29.7%","±0.4","30.6%","±0.5","28.7%","±0.5"
"Not living in a place","39.0%","±0.4","39.8%","±0.5","38.1%","±0.5"
"Living in 12 selected states","N","N","N","N","N","N"
"    Worked in minor civil division of residence","N","N","N","N","N","N"
"    Worked outside minor civil division of residence","N","N","N","N","N","N"
"Not living in 12 selected states","N","N","N","N","N","N"
"Workers 16 years and over who did not work at home","4,151,801","±19,449","2,168,295","±14,077","1,983,506","±13,356"
"    TIME LEAVING HOME TO GO TO WORK","","","","","",""
"        12:00 a.m. to 4:59 a.m.","3.3%","±0.2","4.2%","±0.2","2.3%","±0.2"
"        5:00 a.m. to 5:29 a.m.","3.5%","±0.2","4.4%","±0.2","2.4%","±0.2"
"        5:30 a.m. to 5:59 a.m.","4.5%","±0.2","5.8%","±0.3","3.1%","±0.2"
"        6:00 a.m. to 6:29 a.m.","8.6%","±0.2","10.5%","±0.3","6.5%","±0.3"
"        6:30 a.m. to 6:59 a.m.","10.6%","±0.3","11.1%","±0.4","9.9%","±0.4"
"        7:00 a.m. to 7:29 a.m.","15.6%","±0.3","15.4%","±0.4","15.9%","±0.4"
"        7:30 a.m. to 7:59 a.m.","14.1%","±0.3","12.3%","±0.3","16.0%","±0.4"
"        8:00 a.m. to 8:29 a.m.","10.8%","±0.3","9.9%","±0.3","11.8%","±0.4"
"        8:30 a.m. to 8:59 a.m.","5.2%","±0.2","4.1%","±0.2","6.4%","±0.3"
"        9:00 a.m. to 11:59 p.m.","23.8%","±0.3","22.2%","±0.5","25.6%","±0.5"
"TRAVEL TIME TO WORK","","","","","",""
"    Less than 10 minutes","12.8%","±0.3","12.3%","±0.4","13.4%","±0.4"
"    10 to 14 minutes","15.5%","±0.3","14.8%","±0.4","16.3%","±0.4"
"    15 to 19 minutes","17.7%","±0.4","16.8%","±0.5","18.7%","±0.6"
"    20 to 24 minutes","16.0%","±0.3","15.5%","±0.4","16.5%","±0.5"
"    25 to 29 minutes","6.9%","±0.2","6.8%","±0.3","7.0%","±0.3"
"    30 to 34 minutes","12.9%","±0.3","13.3%","±0.4","12.5%","±0.4"
"    35 to 44 minutes","6.0%","±0.2","6.3%","±0.3","5.7%","±0.3"
"    45 to 59 minutes","6.5%","±0.2","7.2%","±0.3","5.7%","±0.3"
"    60 or more minutes","5.7%","±0.2","7.0%","±0.3","4.2%","±0.2"
"    Mean travel time to work (minutes)","23.9","±0.2","25.4","±0.3","22.3","±0.2"
"VEHICLES AVAILABLE","","","","","",""
"    Workers 16 years and over in households","4,301,122","±21,075","2,236,340","±14,267","2,064,782","±13,136"
"        No vehicle available","2.6%","±0.2","2.6%","±0.2","2.6%","±0.2"
"        1 vehicle available","20.9%","±0.4","17.8%","±0.5","24.3%","±0.5"
"        2 vehicles available","42.7%","±0.5","43.9%","±0.5","41.3%","±0.6"
"        3 or more vehicles available","33.8%","±0.5","35.7%","±0.6","31.8%","±0.6"
"PERCENT IMPUTED","","","","","",""
"    Means of transportation to work","7.9%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","9.2%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","10.3%","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","16.4%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","11.8%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.1%","(X)","(X)","(X)","(X)","(X)"
