"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Male!!Estimate","North Carolina!!Male!!Margin of Error","North Carolina!!Female!!Estimate","North Carolina!!Female!!Margin of Error"
"Workers 16 years and over","4,780,350","±24,489","2,494,045","±15,761","2,286,305","±16,534"
"MEANS OF TRANSPORTATION TO WORK","","","","","",""
"    Car, truck, or van","89.9%","±0.2","89.3%","±0.4","90.7%","±0.3"
"        Drove alone","81.1%","±0.3","79.8%","±0.5","82.6%","±0.5"
"        Carpooled","8.9%","±0.3","9.5%","±0.3","8.1%","±0.4"
"            In 2-person carpool","6.9%","±0.3","7.3%","±0.3","6.5%","±0.3"
"            In 3-person carpool","1.2%","±0.1","1.3%","±0.2","1.1%","±0.1"
"            In 4-or-more person carpool","0.8%","±0.1","1.0%","±0.1","0.5%","±0.1"
"        Workers per car, truck, or van","1.06","±0.01","1.06","±0.01","1.05","±0.01"
"    Public transportation (excluding taxicab)","1.0%","±0.1","0.9%","±0.1","1.0%","±0.1"
"    Walked","1.7%","±0.1","2.3%","±0.2","1.2%","±0.1"
"    Bicycle","0.2%","±0.1","0.3%","±0.1","0.1%","±0.1"
"    Taxicab, motorcycle, or other means","1.0%","±0.1","1.2%","±0.1","0.9%","±0.1"
"    Worked at home","6.1%","±0.2","6.1%","±0.2","6.2%","±0.3"
"PLACE OF WORK","","","","","",""
"    Worked in state of residence","97.4%","±0.1","96.7%","±0.2","98.1%","±0.1"
"        Worked in county of residence","71.2%","±0.4","68.8%","±0.6","73.9%","±0.6"
"        Worked outside county of residence","26.1%","±0.4","27.9%","±0.5","24.2%","±0.6"
"    Worked outside state of residence","2.6%","±0.1","3.3%","±0.2","1.9%","±0.1"
"Living in a place","61.8%","±0.4","61.0%","±0.5","62.6%","±0.5"
"    Worked in place of residence","31.3%","±0.4","29.5%","±0.5","33.2%","±0.5"
"    Worked outside place of residence","30.5%","±0.5","31.5%","±0.6","29.4%","±0.6"
"Not living in a place","38.2%","±0.4","39.0%","±0.5","37.4%","±0.5"
"Living in 12 selected states","N","N","N","N","N","N"
"    Worked in minor civil division of residence","N","N","N","N","N","N"
"    Worked outside minor civil division of residence","N","N","N","N","N","N"
"Not living in 12 selected states","N","N","N","N","N","N"
"Workers 16 years and over who did not work at home","4,488,673","±24,615","2,343,108","±16,787","2,145,565","±16,188"
"    TIME LEAVING HOME TO GO TO WORK","","","","","",""
"        12:00 a.m. to 4:59 a.m.","3.8%","±0.2","4.9%","±0.3","2.7%","±0.2"
"        5:00 a.m. to 5:29 a.m.","3.4%","±0.2","4.5%","±0.2","2.1%","±0.2"
"        5:30 a.m. to 5:59 a.m.","4.8%","±0.2","6.0%","±0.3","3.4%","±0.2"
"        6:00 a.m. to 6:29 a.m.","9.4%","±0.3","11.3%","±0.4","7.4%","±0.3"
"        6:30 a.m. to 6:59 a.m.","10.8%","±0.3","11.1%","±0.4","10.4%","±0.3"
"        7:00 a.m. to 7:29 a.m.","15.5%","±0.3","14.7%","±0.4","16.3%","±0.5"
"        7:30 a.m. to 7:59 a.m.","13.4%","±0.3","11.9%","±0.3","15.1%","±0.4"
"        8:00 a.m. to 8:29 a.m.","10.8%","±0.3","9.8%","±0.4","12.0%","±0.4"
"        8:30 a.m. to 8:59 a.m.","5.1%","±0.2","4.5%","±0.2","5.7%","±0.3"
"        9:00 a.m. to 11:59 p.m.","23.0%","±0.4","21.3%","±0.5","24.8%","±0.6"
"TRAVEL TIME TO WORK","","","","","",""
"    Less than 10 minutes","12.0%","±0.3","12.0%","±0.4","12.1%","±0.4"
"    10 to 14 minutes","14.4%","±0.3","13.2%","±0.4","15.7%","±0.4"
"    15 to 19 minutes","16.9%","±0.3","16.1%","±0.4","17.8%","±0.4"
"    20 to 24 minutes","15.9%","±0.3","15.1%","±0.4","16.7%","±0.4"
"    25 to 29 minutes","7.2%","±0.2","7.0%","±0.3","7.4%","±0.3"
"    30 to 34 minutes","13.1%","±0.3","14.1%","±0.4","12.1%","±0.4"
"    35 to 44 minutes","6.8%","±0.2","7.1%","±0.3","6.6%","±0.3"
"    45 to 59 minutes","7.2%","±0.2","7.9%","±0.3","6.5%","±0.3"
"    60 or more minutes","6.4%","±0.2","7.6%","±0.3","5.1%","±0.3"
"    Mean travel time to work (minutes)","24.9","±0.2","26.3","±0.3","23.3","±0.2"
"VEHICLES AVAILABLE","","","","","",""
"    Workers 16 years and over in households","4,719,287","±24,147","2,450,886","±15,563","2,268,401","±16,775"
"        No vehicle available","2.2%","±0.2","2.2%","±0.2","2.1%","±0.2"
"        1 vehicle available","19.6%","±0.4","17.1%","±0.5","22.4%","±0.5"
"        2 vehicles available","41.3%","±0.5","42.3%","±0.6","40.2%","±0.6"
"        3 or more vehicles available","36.9%","±0.5","38.5%","±0.5","35.3%","±0.6"
"PERCENT ALLOCATED","","","","","",""
"    Means of transportation to work","9.5%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","11.0%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","12.8%","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","19.2%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","14.5%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.2%","(X)","(X)","(X)","(X)","(X)"
