"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","4,780,350","±24,489","3,876,587","±26,194","423,062","±12,913","46,327","±3,946"
"AGE","","","","","","","",""
"    16 to 19 years","3.7%","±0.1","3.2%","±0.2","6.5%","±0.7","8.4%","±2.5"
"    20 to 24 years","9.5%","±0.2","9.1%","±0.2","13.3%","±1.2","17.4%","±2.9"
"    25 to 44 years","43.2%","±0.2","43.4%","±0.3","46.5%","±1.5","41.5%","±3.9"
"    45 to 54 years","22.0%","±0.2","22.2%","±0.3","18.8%","±1.1","19.0%","±3.1"
"    55 to 59 years","9.5%","±0.2","9.7%","±0.2","7.2%","±0.7","6.1%","±1.8"
"    60 years and over","12.1%","±0.2","12.5%","±0.2","7.8%","±0.7","7.7%","±1.6"
"Median age (years)","42.0","±0.2","42.4","±0.2","37.6","±0.7","34.9","±1.4"
"SEX","","","","","","","",""
"    Male","52.2%","±0.2","51.3%","±0.3","56.2%","±1.2","49.7%","±4.4"
"    Female","47.8%","±0.2","48.7%","±0.3","43.8%","±1.2","50.3%","±4.4"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","70.8%","±0.3","71.6%","±0.4","62.9%","±1.5","39.5%","±4.0"
"        Black or African American","20.5%","±0.2","20.4%","±0.3","23.6%","±1.2","47.3%","±3.8"
"        American Indian and Alaska Native","0.9%","±0.1","0.9%","±0.1","1.1%","±0.3","0.3%","±0.4"
"        Asian","3.0%","±0.1","2.8%","±0.1","4.5%","±0.8","7.1%","±2.0"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","2.9%","±0.2","2.4%","±0.2","5.9%","±0.9","3.3%","±1.7"
"    Two or more races","1.8%","±0.1","1.7%","±0.1","2.0%","±0.4","1.6%","±1.0"
"Hispanic or Latino origin (of any race)","8.7%","±0.1","7.6%","±0.2","18.6%","±1.2","7.2%","±2.3"
"White alone, not Hispanic or Latino","65.5%","±0.2","66.8%","±0.3","51.1%","±1.4","36.5%","±3.9"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"    Native","89.3%","±0.3","90.5%","±0.3","79.2%","±1.3","83.0%","±3.3"
"    Foreign born","10.7%","±0.3","9.5%","±0.3","20.8%","±1.3","17.0%","±3.3"
"        Naturalized U.S. citizen","4.2%","±0.2","4.0%","±0.2","5.5%","±0.6","3.2%","±1.6"
"        Not a U.S. citizen","6.5%","±0.2","5.4%","±0.2","15.3%","±1.2","13.8%","±3.2"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Speak language other than English","12.3%","±0.2","11.0%","±0.2","23.5%","±1.3","16.6%","±3.2"
"        Speak English ""very well""","7.1%","±0.2","6.7%","±0.2","10.2%","±1.2","7.7%","±2.0"
"        Speak English less than ""very well""","5.2%","±0.2","4.3%","±0.2","13.3%","±1.1","8.8%","±2.8"
"EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","4,779,298","±24,416","3,876,191","±26,197","422,659","±12,898","46,327","±3,946"
"        $1 to $9,999 or loss","12.5%","±0.3","11.0%","±0.3","19.9%","±1.1","26.9%","±3.7"
"        $10,000 to $14,999","7.1%","±0.2","6.8%","±0.2","9.9%","±0.8","11.9%","±2.7"
"        $15,000 to $24,999","16.0%","±0.3","15.4%","±0.3","21.2%","±1.3","20.5%","±3.9"
"        $25,000 to $34,999","15.1%","±0.3","15.5%","±0.4","15.1%","±1.1","13.1%","±3.0"
"        $35,000 to $49,999","17.4%","±0.3","18.5%","±0.4","14.9%","±0.9","8.0%","±1.7"
"        $50,000 to $64,999","11.8%","±0.3","12.5%","±0.4","8.4%","±0.8","5.2%","±1.5"
"        $65,000 to $74,999","4.4%","±0.2","4.7%","±0.2","2.4%","±0.4","3.3%","±1.4"
"        $75,000 or more","15.7%","±0.3","15.7%","±0.3","8.2%","±0.7","11.1%","±2.6"
"Median earnings (dollars)","34,154","±514","35,724","±246","24,325","±983","19,485","±1,447"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","4,726,286","±24,307","3,862,991","±26,155","417,605","±12,938","44,501","±3,681"
"        Below 100 percent of the poverty level","6.7%","±0.2","5.9%","±0.2","11.6%","±1.1","19.5%","±3.2"
"        100 to 149 percent of the poverty level","6.8%","±0.2","6.3%","±0.2","10.7%","±1.0","14.6%","±3.0"
"        At or above 150 percent of the poverty level","86.5%","±0.3","87.7%","±0.3","77.6%","±1.4","65.9%","±3.8"
"Workers 16 years and over","4,780,350","±24,489","3,876,587","±26,194","423,062","±12,913","46,327","±3,946"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","37.3%","±0.4","37.7%","±0.5","25.9%","±0.9","36.4%","±3.6"
"        Service occupations","17.1%","±0.3","16.9%","±0.4","21.5%","±1.3","28.2%","±3.4"
"        Sales and office occupations","22.1%","±0.3","22.6%","±0.4","18.4%","±1.1","18.6%","±3.3"
"        Natural resources, construction, and maintenance occupations","9.4%","±0.2","8.6%","±0.2","17.2%","±1.0","7.0%","±2.5"
"        Production, transportation, and material moving occupations","13.1%","±0.3","13.4%","±0.3","16.4%","±1.0","9.2%","±2.5"
"        Military specific occupations","0.9%","±0.1","0.8%","±0.1","0.5%","±0.2","0.6%","±0.6"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting, and mining","1.1%","±0.1","0.9%","±0.1","2.2%","±0.5","1.3%","±0.8"
"    Construction","6.7%","±0.2","5.9%","±0.2","13.8%","±0.9","3.3%","±1.5"
"    Manufacturing","12.6%","±0.3","13.1%","±0.3","13.8%","±0.8","5.1%","±1.7"
"    Wholesale trade","2.4%","±0.1","2.5%","±0.1","1.7%","±0.4","1.2%","±1.2"
"    Retail trade","11.4%","±0.3","11.8%","±0.3","11.1%","±0.9","12.4%","±2.9"
"    Transportation and warehousing, and utilities","4.4%","±0.2","4.6%","±0.2","3.1%","±0.4","2.7%","±1.5"
"    Information and finance and insurance, and real estate and rental and leasing","8.0%","±0.2","7.9%","±0.3","4.8%","±0.7","10.0%","±2.4"
