"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Male!!Estimate","North Carolina!!Male!!Margin of Error","North Carolina!!Female!!Estimate","North Carolina!!Female!!Margin of Error"
"Workers 16 years and over","4,626,006","±20,643","2,424,296","±13,917","2,201,710","±17,154"
"MEANS OF TRANSPORTATION TO WORK","","","","","",""
"    Car, truck, or van","90.5%","±0.3","90.0%","±0.3","91.0%","±0.3"
"        Drove alone","81.3%","±0.3","80.2%","±0.5","82.6%","±0.4"
"        Carpooled","9.2%","±0.2","9.9%","±0.3","8.4%","±0.3"
"            In 2-person carpool","6.9%","±0.2","7.3%","±0.3","6.5%","±0.3"
"            In 3-person carpool","1.3%","±0.1","1.4%","±0.2","1.2%","±0.1"
"            In 4-or-more person carpool","0.9%","±0.1","1.2%","±0.1","0.7%","±0.1"
"        Workers per car, truck, or van","1.06","±0.01","1.07","±0.01","1.05","±0.01"
"    Public transportation (excluding taxicab)","1.0%","±0.1","1.1%","±0.1","1.0%","±0.1"
"    Walked","1.7%","±0.1","2.1%","±0.2","1.4%","±0.1"
"    Bicycle","0.2%","±0.1","0.3%","±0.1","0.1%","±0.1"
"    Taxicab, motorcycle, or other means","1.1%","±0.1","1.4%","±0.1","0.9%","±0.1"
"    Worked at home","5.4%","±0.2","5.1%","±0.2","5.7%","±0.3"
"PLACE OF WORK","","","","","",""
"    Worked in state of residence","97.3%","±0.1","96.7%","±0.2","98.0%","±0.1"
"        Worked in county of residence","71.0%","±0.4","68.9%","±0.4","73.3%","±0.5"
"        Worked outside county of residence","26.3%","±0.3","27.8%","±0.4","24.7%","±0.5"
"    Worked outside state of residence","2.7%","±0.1","3.3%","±0.2","2.0%","±0.1"
"Living in a place","62.1%","±0.3","61.1%","±0.4","63.2%","±0.4"
"    Worked in place of residence","31.4%","±0.3","29.4%","±0.4","33.6%","±0.5"
"    Worked outside place of residence","30.7%","±0.4","31.7%","±0.5","29.6%","±0.5"
"Not living in a place","37.9%","±0.3","38.9%","±0.4","36.8%","±0.4"
"Living in 12 selected states","N","N","N","N","N","N"
"    Worked in minor civil division of residence","N","N","N","N","N","N"
"    Worked outside minor civil division of residence","N","N","N","N","N","N"
"Not living in 12 selected states","N","N","N","N","N","N"
"Workers 16 years and over who did not work at home","4,376,042","±20,809","2,299,650","±14,685","2,076,392","±16,468"
"    TIME LEAVING HOME TO GO TO WORK","","","","","",""
"        12:00 a.m. to 4:59 a.m.","3.9%","±0.2","4.9%","±0.3","2.8%","±0.2"
"        5:00 a.m. to 5:29 a.m.","3.4%","±0.1","4.5%","±0.2","2.2%","±0.2"
"        5:30 a.m. to 5:59 a.m.","4.5%","±0.2","5.7%","±0.3","3.3%","±0.2"
"        6:00 a.m. to 6:29 a.m.","9.1%","±0.3","11.0%","±0.4","7.0%","±0.3"
"        6:30 a.m. to 6:59 a.m.","10.0%","±0.2","10.7%","±0.3","9.2%","±0.3"
"        7:00 a.m. to 7:29 a.m.","15.9%","±0.3","15.2%","±0.3","16.5%","±0.4"
"        7:30 a.m. to 7:59 a.m.","13.3%","±0.3","11.8%","±0.3","15.1%","±0.4"
"        8:00 a.m. to 8:29 a.m.","10.8%","±0.2","10.0%","±0.3","11.8%","±0.4"
"        8:30 a.m. to 8:59 a.m.","5.1%","±0.2","4.0%","±0.2","6.2%","±0.3"
"        9:00 a.m. to 11:59 p.m.","24.1%","±0.4","22.3%","±0.4","26.0%","±0.6"
"TRAVEL TIME TO WORK","","","","","",""
"    Less than 10 minutes","12.1%","±0.3","11.9%","±0.4","12.2%","±0.4"
"    10 to 14 minutes","14.6%","±0.3","13.8%","±0.4","15.6%","±0.4"
"    15 to 19 minutes","17.2%","±0.3","16.2%","±0.5","18.2%","±0.5"
"    20 to 24 minutes","15.8%","±0.3","15.5%","±0.4","16.1%","±0.4"
"    25 to 29 minutes","7.1%","±0.2","6.8%","±0.3","7.5%","±0.3"
"    30 to 34 minutes","13.8%","±0.3","14.1%","±0.4","13.4%","±0.4"
"    35 to 44 minutes","6.5%","±0.2","7.0%","±0.3","6.0%","±0.3"
"    45 to 59 minutes","7.1%","±0.2","7.7%","±0.3","6.4%","±0.3"
"    60 or more minutes","5.8%","±0.2","7.0%","±0.3","4.4%","±0.2"
"    Mean travel time to work (minutes)","24.4","±0.2","25.7","±0.3","23.0","±0.2"
"VEHICLES AVAILABLE","","","","","",""
"    Workers 16 years and over in households","4,572,616","±20,485","2,386,956","±13,863","2,185,660","±17,026"
"        No vehicle available","2.2%","±0.1","2.2%","±0.2","2.2%","±0.2"
"        1 vehicle available","20.1%","±0.4","17.3%","±0.5","23.2%","±0.6"
"        2 vehicles available","41.3%","±0.5","42.7%","±0.5","39.8%","±0.7"
"        3 or more vehicles available","36.4%","±0.5","37.8%","±0.6","34.8%","±0.6"
"PERCENT ALLOCATED","","","","","",""
"    Means of transportation to work","9.1%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","10.5%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","12.3%","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","18.5%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","13.6%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.1%","(X)","(X)","(X)","(X)","(X)"
