"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Male!!Estimate","North Carolina!!Male!!Margin of Error","North Carolina!!Female!!Estimate","North Carolina!!Female!!Margin of Error"
"Workers 16 years and over","4,887,692","±23,189","2,569,795","±16,231","2,317,897","±18,723"
"    MEANS OF TRANSPORTATION TO WORK","","","","","",""
"        Car, truck, or van","77.9%","±0.4","79.2%","±0.6","76.5%","±0.5"
"            Drove alone","70.4%","±0.4","71.3%","±0.6","69.4%","±0.6"
"            Carpooled","7.5%","±0.3","7.9%","±0.3","7.0%","±0.4"
"                In 2-person carpool","5.7%","±0.2","6.0%","±0.3","5.4%","±0.3"
"                In 3-person carpool","1.1%","±0.1","1.2%","±0.1","1.1%","±0.1"
"                In 4-or-more person carpool","0.7%","±0.1","0.8%","±0.1","0.6%","±0.1"
"            Workers per car, truck, or van","1.06","±0.01","1.06","±0.01","1.05","±0.01"
"        Public transportation (excluding taxicab)","0.5%","±0.1","0.6%","±0.1","0.5%","±0.1"
"        Walked","1.4%","±0.1","1.6%","±0.1","1.1%","±0.1"
"        Bicycle","0.1%","±0.1","0.2%","±0.1","0.1%","±0.1"
"        Taxicab, motorcycle, or other means","1.3%","±0.1","1.3%","±0.1","1.2%","±0.2"
"        Worked from home","18.8%","±0.4","17.1%","±0.5","20.6%","±0.5"
"    PLACE OF WORK","","","","","",""
"        Worked in state of residence","97.7%","±0.1","97.1%","±0.2","98.4%","±0.1"
"            Worked in county of residence","74.0%","±0.4","71.4%","±0.6","76.9%","±0.6"
"            Worked outside county of residence","23.7%","±0.5","25.7%","±0.6","21.5%","±0.6"
"        Worked outside state of residence","2.3%","±0.1","2.9%","±0.2","1.6%","±0.1"
"        Living in a place","63.5%","±0.4","62.3%","±0.6","64.8%","±0.5"
"            Worked in place of residence","36.4%","±0.4","34.5%","±0.5","38.6%","±0.6"
"            Worked outside place of residence","27.1%","±0.5","27.8%","±0.6","26.2%","±0.6"
"        Not living in a place","36.5%","±0.4","37.7%","±0.6","35.2%","±0.5"
"        Living in 12 selected states","N","N","N","N","N","N"
"            Worked in minor civil division of residence","N","N","N","N","N","N"
"            Worked outside minor civil division of residence","N","N","N","N","N","N"
"        Not living in 12 selected states","N","N","N","N","N","N"
"Workers 16 years and over who did not work from home","3,970,072","±27,875","2,130,513","±19,888","1,839,559","±19,010"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","",""
"        12:00 a.m. to 4:59 a.m.","4.8%","±0.2","5.9%","±0.3","3.5%","±0.3"
"        5:00 a.m. to 5:29 a.m.","3.5%","±0.2","4.6%","±0.3","2.1%","±0.2"
"        5:30 a.m. to 5:59 a.m.","4.5%","±0.2","5.7%","±0.3","3.1%","±0.3"
"        6:00 a.m. to 6:29 a.m.","9.3%","±0.3","10.6%","±0.4","7.8%","±0.4"
"        6:30 a.m. to 6:59 a.m.","10.4%","±0.3","11.1%","±0.5","9.6%","±0.4"
"        7:00 a.m. to 7:29 a.m.","14.9%","±0.3","14.8%","±0.5","15.0%","±0.5"
"        7:30 a.m. to 7:59 a.m.","12.6%","±0.3","11.2%","±0.4","14.3%","±0.5"
"        8:00 a.m. to 8:29 a.m.","11.0%","±0.3","10.7%","±0.4","11.5%","±0.5"
"        8:30 a.m. to 8:59 a.m.","5.2%","±0.2","3.9%","±0.2","6.8%","±0.4"
"        9:00 a.m. to 11:59 p.m.","23.7%","±0.5","21.5%","±0.6","26.3%","±0.7"
"    TRAVEL TIME TO WORK","","","","","",""
"        Less than 10 minutes","13.0%","±0.3","12.4%","±0.5","13.7%","±0.5"
"        10 to 14 minutes","14.0%","±0.4","12.8%","±0.5","15.4%","±0.5"
"        15 to 19 minutes","17.4%","±0.4","16.3%","±0.5","18.6%","±0.6"
"        20 to 24 minutes","15.1%","±0.3","14.7%","±0.4","15.7%","±0.5"
"        25 to 29 minutes","7.4%","±0.2","7.5%","±0.3","7.3%","±0.3"
"        30 to 34 minutes","13.5%","±0.3","14.4%","±0.5","12.4%","±0.4"
"        35 to 44 minutes","6.7%","±0.3","7.1%","±0.3","6.3%","±0.4"
"        45 to 59 minutes","6.9%","±0.3","7.5%","±0.4","6.2%","±0.4"
"        60 or more minutes","6.0%","±0.2","7.3%","±0.3","4.5%","±0.3"
"        Mean travel time to work (minutes)","24.5","±0.2","25.9","±0.3","22.9","±0.3"
"VEHICLES AVAILABLE","","","","","",""
"    Workers 16 years and over in households","4,822,706","±23,293","2,522,553","±16,197","2,300,153","±19,074"
"        No vehicle available","2.1%","±0.2","2.1%","±0.2","2.2%","±0.2"
"        1 vehicle available","19.2%","±0.4","16.5%","±0.4","22.0%","±0.5"
"        2 vehicles available","40.9%","±0.6","41.9%","±0.7","39.8%","±0.7"
"        3 or more vehicles available","37.9%","±0.6","39.5%","±0.7","36.0%","±0.6"
"PERCENT ALLOCATED","","","","","",""
"    Means of transportation to work","13.9%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","16.1%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","16.5%","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","26.2%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","20.4%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.9%","(X)","(X)","(X)","(X)","(X)"
