"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Male!!Estimate","North Carolina!!Male!!Margin of Error","North Carolina!!Female!!Estimate","North Carolina!!Female!!Margin of Error"
"Workers 16 years and over","4,524,800","±20,892","2,391,915","±16,189","2,132,885","±14,353"
"MEANS OF TRANSPORTATION TO WORK","","","","","",""
"    Car, truck, or van","90.8%","±0.3","90.4%","±0.4","91.2%","±0.3"
"        Drove alone","81.4%","±0.4","80.4%","±0.5","82.6%","±0.5"
"        Carpooled","9.4%","±0.3","10.1%","±0.4","8.7%","±0.3"
"            In 2-person carpool","7.2%","±0.2","7.5%","±0.3","7.0%","±0.3"
"            In 3-person carpool","1.3%","±0.1","1.3%","±0.2","1.2%","±0.1"
"            In 4-or-more person carpool","0.9%","±0.1","1.3%","±0.2","0.5%","±0.1"
"        Workers per car, truck, or van","1.06","±0.01","1.07","±0.01","1.05","±0.01"
"    Public transportation (excluding taxicab)","1.1%","±0.1","1.1%","±0.1","1.1%","±0.1"
"    Walked","1.8%","±0.1","2.0%","±0.2","1.5%","±0.1"
"    Bicycle","0.2%","±0.1","0.3%","±0.1","0.1%","±0.1"
"    Taxicab, motorcycle, or other means","1.1%","±0.1","1.4%","±0.1","0.7%","±0.1"
"    Worked at home","5.0%","±0.2","4.8%","±0.3","5.3%","±0.3"
"PLACE OF WORK","","","","","",""
"    Worked in state of residence","97.4%","±0.1","96.6%","±0.2","98.2%","±0.1"
"        Worked in county of residence","71.4%","±0.3","68.9%","±0.4","74.2%","±0.5"
"        Worked outside county of residence","25.9%","±0.3","27.7%","±0.4","24.0%","±0.5"
"    Worked outside state of residence","2.6%","±0.1","3.4%","±0.2","1.8%","±0.1"
"Living in a place","61.7%","±0.4","60.8%","±0.4","62.6%","±0.5"
"    Worked in place of residence","31.4%","±0.4","29.4%","±0.5","33.6%","±0.6"
"    Worked outside place of residence","30.3%","±0.4","31.4%","±0.5","29.0%","±0.6"
"Not living in a place","38.3%","±0.4","39.2%","±0.4","37.4%","±0.5"
"Living in 12 selected states","N","N","N","N","N","N"
"    Worked in minor civil division of residence","N","N","N","N","N","N"
"    Worked outside minor civil division of residence","N","N","N","N","N","N"
"Not living in 12 selected states","N","N","N","N","N","N"
"Workers 16 years and over who did not work at home","4,297,256","±20,108","2,277,791","±17,067","2,019,465","±13,634"
"    TIME LEAVING HOME TO GO TO WORK","","","","","",""
"        12:00 a.m. to 4:59 a.m.","3.6%","±0.2","4.5%","±0.2","2.6%","±0.2"
"        5:00 a.m. to 5:29 a.m.","3.4%","±0.2","4.5%","±0.3","2.0%","±0.2"
"        5:30 a.m. to 5:59 a.m.","4.3%","±0.2","5.4%","±0.2","3.1%","±0.2"
"        6:00 a.m. to 6:29 a.m.","9.5%","±0.2","11.4%","±0.3","7.3%","±0.3"
"        6:30 a.m. to 6:59 a.m.","10.4%","±0.3","11.0%","±0.3","9.7%","±0.4"
"        7:00 a.m. to 7:29 a.m.","15.5%","±0.3","14.9%","±0.4","16.2%","±0.4"
"        7:30 a.m. to 7:59 a.m.","13.5%","±0.3","11.9%","±0.3","15.3%","±0.4"
"        8:00 a.m. to 8:29 a.m.","10.9%","±0.2","10.1%","±0.3","11.8%","±0.3"
"        8:30 a.m. to 8:59 a.m.","5.2%","±0.2","4.4%","±0.2","6.1%","±0.3"
"        9:00 a.m. to 11:59 p.m.","23.8%","±0.4","22.0%","±0.6","25.8%","±0.5"
"TRAVEL TIME TO WORK","","","","","",""
"    Less than 10 minutes","12.5%","±0.3","12.2%","±0.4","12.9%","±0.4"
"    10 to 14 minutes","14.9%","±0.3","14.0%","±0.4","15.9%","±0.4"
"    15 to 19 minutes","17.6%","±0.3","16.7%","±0.5","18.6%","±0.4"
"    20 to 24 minutes","15.5%","±0.3","14.8%","±0.4","16.2%","±0.4"
"    25 to 29 minutes","7.0%","±0.2","6.9%","±0.3","7.2%","±0.3"
"    30 to 34 minutes","13.3%","±0.3","13.9%","±0.4","12.5%","±0.4"
"    35 to 44 minutes","6.3%","±0.2","6.7%","±0.3","5.7%","±0.3"
"    45 to 59 minutes","7.0%","±0.2","7.6%","±0.3","6.4%","±0.3"
"    60 or more minutes","5.9%","±0.2","7.1%","±0.3","4.5%","±0.3"
"    Mean travel time to work (minutes)","24.3","±0.2","25.7","±0.3","22.7","±0.2"
"VEHICLES AVAILABLE","","","","","",""
"    Workers 16 years and over in households","4,474,563","±21,022","2,359,938","±16,307","2,114,625","±14,828"
"        No vehicle available","2.4%","±0.2","2.5%","±0.3","2.3%","±0.2"
"        1 vehicle available","20.5%","±0.4","17.6%","±0.4","23.7%","±0.5"
"        2 vehicles available","41.9%","±0.5","43.1%","±0.5","40.5%","±0.6"
"        3 or more vehicles available","35.2%","±0.5","36.7%","±0.6","33.6%","±0.5"
"PERCENT IMPUTED","","","","","",""
"    Means of transportation to work","8.5%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","9.7%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","10.9%","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","16.2%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","12.2%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.1%","(X)","(X)","(X)","(X)","(X)"
