"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Male!!Estimate","North Carolina!!Male!!Margin of Error","North Carolina!!Female!!Estimate","North Carolina!!Female!!Margin of Error"
"Workers 16 years and over","4,858,875","±25,677","2,547,862","±17,417","2,311,013","±16,120"
"    MEANS OF TRANSPORTATION TO WORK","","","","","",""
"        Car, truck, or van","90.0%","±0.3","89.5%","±0.4","90.5%","±0.3"
"            Drove alone","80.6%","±0.4","79.9%","±0.5","81.5%","±0.4"
"            Carpooled","9.3%","±0.3","9.6%","±0.4","9.0%","±0.4"
"                In 2-person carpool","7.2%","±0.3","7.2%","±0.3","7.2%","±0.3"
"                In 3-person carpool","1.2%","±0.1","1.2%","±0.1","1.2%","±0.1"
"                In 4-or-more person carpool","0.9%","±0.1","1.2%","±0.1","0.7%","±0.1"
"            Workers per car, truck, or van","1.06","±0.01","1.06","±0.01","1.06","±0.01"
"        Public transportation (excluding taxicab)","1.0%","±0.1","0.9%","±0.1","1.0%","±0.1"
"        Walked","1.8%","±0.1","2.0%","±0.2","1.5%","±0.1"
"        Bicycle","0.2%","±0.1","0.2%","±0.1","0.1%","±0.1"
"        Taxicab, motorcycle, or other means","1.1%","±0.1","1.3%","±0.1","0.8%","±0.1"
"        Worked at home","6.0%","±0.2","6.0%","±0.3","6.1%","±0.3"
"    PLACE OF WORK","","","","","",""
"        Worked in state of residence","97.4%","±0.1","96.7%","±0.2","98.1%","±0.2"
"            Worked in county of residence","70.8%","±0.4","68.6%","±0.5","73.2%","±0.5"
"            Worked outside county of residence","26.6%","±0.4","28.1%","±0.5","24.9%","±0.4"
"        Worked outside state of residence","2.6%","±0.1","3.3%","±0.2","1.9%","±0.2"
"        Living in a place","62.4%","±0.3","61.6%","±0.4","63.2%","±0.5"
"            Worked in place of residence","31.5%","±0.4","29.9%","±0.5","33.3%","±0.6"
"            Worked outside place of residence","30.9%","±0.4","31.7%","±0.5","29.9%","±0.6"
"        Not living in a place","37.6%","±0.3","38.4%","±0.4","36.8%","±0.5"
"        Living in 12 selected states","N","N","N","N","N","N"
"            Worked in minor civil division of residence","N","N","N","N","N","N"
"            Worked outside minor civil division of residence","N","N","N","N","N","N"
"        Not living in 12 selected states","N","N","N","N","N","N"
"Workers 16 years and over who did not work at home","4,565,929","±26,224","2,395,661","±18,752","2,170,268","±16,020"
"    TIME LEAVING HOME TO GO TO WORK","","","","","",""
"        12:00 a.m. to 4:59 a.m.","3.8%","±0.1","4.9%","±0.2","2.7%","±0.2"
"        5:00 a.m. to 5:29 a.m.","3.7%","±0.2","5.0%","±0.3","2.4%","±0.2"
"        5:30 a.m. to 5:59 a.m.","4.7%","±0.2","5.8%","±0.3","3.6%","±0.3"
"        6:00 a.m. to 6:29 a.m.","9.1%","±0.3","10.7%","±0.4","7.4%","±0.4"
"        6:30 a.m. to 6:59 a.m.","10.7%","±0.2","11.2%","±0.3","10.1%","±0.3"
"        7:00 a.m. to 7:29 a.m.","15.4%","±0.3","14.7%","±0.4","16.1%","±0.4"
"        7:30 a.m. to 7:59 a.m.","13.0%","±0.3","11.4%","±0.4","14.7%","±0.4"
"        8:00 a.m. to 8:29 a.m.","10.7%","±0.2","9.9%","±0.3","11.6%","±0.4"
"        8:30 a.m. to 8:59 a.m.","5.2%","±0.2","4.6%","±0.2","5.8%","±0.3"
"        9:00 a.m. to 11:59 p.m.","23.7%","±0.3","21.8%","±0.4","25.7%","±0.5"
"    TRAVEL TIME TO WORK","","","","","",""
"        Less than 10 minutes","12.2%","±0.3","11.8%","±0.4","12.7%","±0.5"
"        10 to 14 minutes","14.0%","±0.4","13.3%","±0.4","14.6%","±0.5"
"        15 to 19 minutes","17.0%","±0.3","16.1%","±0.5","18.1%","±0.5"
"        20 to 24 minutes","15.7%","±0.3","15.3%","±0.5","16.1%","±0.5"
"        25 to 29 minutes","7.1%","±0.2","7.1%","±0.3","7.2%","±0.3"
"        30 to 34 minutes","13.4%","±0.3","13.8%","±0.4","12.9%","±0.4"
"        35 to 44 minutes","6.9%","±0.2","7.1%","±0.3","6.6%","±0.3"
"        45 to 59 minutes","7.4%","±0.2","7.9%","±0.3","6.7%","±0.3"
"        60 or more minutes","6.4%","±0.2","7.6%","±0.3","5.0%","±0.3"
"        Mean travel time to work (minutes)","24.8","±0.2","26.1","±0.2","23.4","±0.2"
"VEHICLES AVAILABLE","","","","","",""
"    Workers 16 years and over in households","4,792,222","±25,122","2,499,473","±17,217","2,292,749","±16,139"
"        No vehicle available","2.2%","±0.2","2.1%","±0.2","2.2%","±0.2"
"        1 vehicle available","19.5%","±0.4","16.8%","±0.5","22.5%","±0.5"
"        2 vehicles available","41.0%","±0.5","42.1%","±0.6","39.8%","±0.7"
"        3 or more vehicles available","37.4%","±0.5","39.0%","±0.6","35.5%","±0.7"
"PERCENT ALLOCATED","","","","","",""
"    Means of transportation to work","10.3%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","12.0%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","14.9%","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","20.1%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","15.1%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.4%","(X)","(X)","(X)","(X)","(X)"
