"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Male!!Estimate","North Carolina!!Male!!Margin of Error","North Carolina!!Female!!Estimate","North Carolina!!Female!!Margin of Error"
"Workers 16 years and over","4,119,560","±24,651","2,155,821","±14,149","1,963,739","±17,027"
"MEANS OF TRANSPORTATION TO WORK","","","","","",""
"    Car, truck, or van","91.9%","±0.2","91.0%","±0.4","92.9%","±0.3"
"        Drove alone","81.9%","±0.3","80.0%","±0.5","83.9%","±0.5"
"        Carpooled","10.1%","±0.3","11.0%","±0.4","9.0%","±0.4"
"            In 2-person carpool","7.5%","±0.2","7.9%","±0.3","7.1%","±0.3"
"            In 3-person carpool","1.4%","±0.1","1.6%","±0.2","1.1%","±0.1"
"            In 4-or-more person carpool","1.2%","±0.1","1.5%","±0.2","0.8%","±0.1"
"        Workers per car, truck, or van","1.06","±0.01","1.07","±0.01","1.06","±0.01"
"    Public transportation (excluding taxicab)","1.0%","±0.1","1.0%","±0.1","1.1%","±0.1"
"    Walked","1.8%","±0.1","2.2%","±0.2","1.4%","±0.2"
"    Bicycle","0.2%","±0.1","0.4%","±0.1","0.1%","±0.1"
"    Taxicab, motorcycle, or other means","0.9%","±0.1","1.3%","±0.2","0.6%","±0.1"
"    Worked at home","4.0%","±0.2","4.2%","±0.2","3.9%","±0.2"
"PLACE OF WORK","","","","","",""
"    Worked in state of residence","97.4%","±0.1","96.7%","±0.2","98.2%","±0.2"
"        Worked in county of residence","72.0%","±0.3","69.3%","±0.4","75.0%","±0.6"
"        Worked outside county of residence","25.4%","±0.3","27.4%","±0.4","23.3%","±0.5"
"    Worked outside state of residence","2.6%","±0.1","3.3%","±0.2","1.8%","±0.2"
"Living in a place","59.6%","±0.4","59.3%","±0.6","60.0%","±0.6"
"    Worked in place of residence","30.7%","±0.4","29.1%","±0.5","32.4%","±0.6"
"    Worked outside place of residence","28.9%","±0.4","30.1%","±0.5","27.6%","±0.6"
"Not living in a place","40.4%","±0.4","40.7%","±0.6","40.0%","±0.6"
"Living in 12 selected states","N","N","N","N","N","N"
"    Worked in minor civil division of residence","N","N","N","N","N","N"
"    Worked outside minor civil division of residence","N","N","N","N","N","N"
"Not living in 12 selected states","N","N","N","N","N","N"
"Workers 16 years and over who did not work at home","3,953,050","±23,789","2,065,893","±14,360","1,887,157","±16,031"
"TIME LEAVING HOME TO GO TO WORK","","","","","",""
"    12:00 a.m. to 4:59 a.m.","3.6%","±0.2","4.7%","±0.3","2.4%","±0.2"
"    5:00 a.m. to 5:29 a.m.","3.2%","±0.2","4.2%","±0.2","2.0%","±0.2"
"    5:30 a.m. to 5:59 a.m.","4.6%","±0.2","5.7%","±0.3","3.3%","±0.2"
"    6:00 a.m. to 6:29 a.m.","8.7%","±0.3","10.9%","±0.4","6.3%","±0.3"
"    6:30 a.m. to 6:59 a.m.","10.8%","±0.3","11.8%","±0.4","9.7%","±0.4"
"    7:00 a.m. to 7:29 a.m.","15.9%","±0.3","15.7%","±0.5","16.2%","±0.4"
"    7:30 a.m. to 7:59 a.m.","14.0%","±0.3","12.0%","±0.4","16.1%","±0.4"
"    8:00 a.m. to 8:29 a.m.","10.6%","±0.2","9.4%","±0.3","12.0%","±0.4"
"    8:30 a.m. to 8:59 a.m.","5.0%","±0.2","4.3%","±0.2","5.9%","±0.3"
"    9:00 a.m. to 11:59 p.m.","23.6%","±0.4","21.4%","±0.5","26.1%","±0.6"
"TRAVEL TIME TO WORK","","","","","",""
"    Less than 10 minutes","12.9%","±0.3","12.5%","±0.4","13.4%","±0.5"
"    10 to 14 minutes","15.5%","±0.4","14.6%","±0.5","16.6%","±0.5"
"    15 to 19 minutes","17.4%","±0.3","16.4%","±0.5","18.6%","±0.5"
"    20 to 24 minutes","16.6%","±0.4","16.0%","±0.5","17.3%","±0.5"
"    25 to 29 minutes","6.6%","±0.3","6.4%","±0.3","6.8%","±0.3"
"    30 to 34 minutes","13.4%","±0.3","14.2%","±0.5","12.6%","±0.4"
"    35 to 44 minutes","5.8%","±0.2","6.1%","±0.3","5.5%","±0.3"
"    45 to 59 minutes","6.4%","±0.2","7.2%","±0.4","5.5%","±0.3"
"    60 or more minutes","5.2%","±0.2","6.7%","±0.3","3.7%","±0.2"
"    Mean travel time to work (minutes)","23.4","±0.2","24.9","±0.3","21.8","±0.2"
"VEHICLES AVAILABLE","","","","","",""
"    Workers 16 years and over in households","4,067,413","±24,732","2,120,386","±14,865","1,947,027","±16,820"
"    No vehicle available","2.5%","±0.2","2.6%","±0.2","2.4%","±0.2"
"    1 vehicle available","20.7%","±0.4","17.4%","±0.6","24.3%","±0.6"
"    2 vehicles available","42.9%","±0.5","44.5%","±0.7","41.1%","±0.6"
"    3 or more vehicles available","33.9%","±0.5","35.5%","±0.6","32.1%","±0.6"
"PERCENT IMPUTED","","","","","",""
"    Means of transportation to work","5.1%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","6.3%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","6.7%","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","11.1%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","9.1%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.1%","(X)","(X)","(X)","(X)","(X)"
