"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","4,431,005","±19,374","3,605,043","±22,261","429,299","±10,729","50,467","±3,630"
"AGE","","","","","","","",""
"    16 to 19 years","3.3%","±0.1","2.9%","±0.1","5.2%","±0.6","3.0%","±1.4"
"    20 to 24 years","9.8%","±0.2","9.2%","±0.2","12.8%","±1.0","17.7%","±3.0"
"    25 to 44 years","43.8%","±0.3","43.9%","±0.3","48.5%","±1.6","47.4%","±4.1"
"    45 to 54 years","22.3%","±0.2","22.6%","±0.3","19.4%","±1.0","19.0%","±2.7"
"    55 to 59 years","9.6%","±0.2","9.9%","±0.2","7.3%","±0.6","7.2%","±1.7"
"    60 years and over","11.1%","±0.2","11.4%","±0.2","6.8%","±0.7","5.6%","±1.4"
"Median age (years)","42.2","±0.2","42.6","±0.2","38.1","±0.6","35.8","±1.7"
"SEX","","","","","","","",""
"    Male","52.4%","±0.2","51.8%","±0.3","55.9%","±1.2","43.8%","±4.1"
"    Female","47.6%","±0.2","48.2%","±0.3","44.1%","±1.2","56.2%","±4.1"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","71.8%","±0.3","73.0%","±0.3","61.7%","±1.4","39.7%","±4.2"
"        Black or African American","19.9%","±0.2","19.7%","±0.3","22.1%","±1.4","45.1%","±4.2"
"        American Indian and Alaska Native","0.9%","±0.1","0.9%","±0.1","0.8%","±0.2","1.3%","±0.7"
"        Asian","2.7%","±0.1","2.5%","±0.1","3.8%","±0.6","8.3%","±2.0"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","3.2%","±0.2","2.5%","±0.2","9.4%","±1.0","4.3%","±1.6"
"    Two or more races","1.5%","±0.1","1.4%","±0.1","2.2%","±0.4","1.2%","±0.7"
"Hispanic or Latino origin (of any race)","8.5%","±0.1","7.1%","±0.2","20.3%","±1.2","13.0%","±2.7"
"White alone, not Hispanic or Latino","67.0%","±0.2","68.8%","±0.3","51.6%","±1.1","31.9%","±3.9"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"    Native","89.5%","±0.2","91.1%","±0.2","76.7%","±1.3","82.8%","±3.1"
"    Foreign born","10.5%","±0.2","8.9%","±0.2","23.3%","±1.3","17.2%","±3.1"
"        Naturalized U.S. citizen","3.7%","±0.2","3.6%","±0.2","4.7%","±0.6","1.9%","±0.8"
"        Not a U.S. citizen","6.8%","±0.2","5.3%","±0.2","18.6%","±1.3","15.2%","±2.9"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Speak language other than English","12.0%","±0.2","10.4%","±0.2","25.2%","±1.3","19.4%","±3.6"
"        Speak English ""very well""","6.3%","±0.2","6.0%","±0.2","8.2%","±0.9","8.3%","±2.1"
"        Speak English less than ""very well""","5.7%","±0.2","4.4%","±0.2","17.0%","±1.3","11.1%","±2.9"
"EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","4,430,248","±19,325","3,604,608","±22,214","429,214","±10,722","50,467","±3,630"
"        $1 to $9,999 or loss","14.1%","±0.3","12.6%","±0.3","20.9%","±1.1","24.6%","±3.6"
"        $10,000 to $14,999","8.2%","±0.3","7.6%","±0.3","11.0%","±0.9","14.9%","±3.0"
"        $15,000 to $24,999","17.2%","±0.3","16.7%","±0.4","22.7%","±1.0","19.9%","±3.6"
