"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","4,183,841","±28,155","3,390,337","±26,025","415,821","±13,997","49,068","±4,657"
"AGE","","","","","","","",""
"    16 to 19 years","3.0%","±0.2","2.7%","±0.2","4.1%","±0.6","3.3%","±1.3"
"    20 to 24 years","9.5%","±0.2","8.9%","±0.3","12.2%","±1.0","13.7%","±2.9"
"    25 to 44 years","44.6%","±0.3","44.3%","±0.4","50.2%","±1.7","49.3%","±4.0"
"    45 to 54 years","23.2%","±0.3","23.7%","±0.4","20.3%","±1.1","20.4%","±3.2"
"    55 to 59 years","9.5%","±0.2","9.9%","±0.3","6.5%","±0.8","8.7%","±2.1"
"    60 years and over","10.3%","±0.3","10.6%","±0.3","6.7%","±0.7","4.6%","±1.5"
"Median age (years)","42.0","±0.2","42.6","±0.3","38.2","±0.8","36.4","±3.0"
"SEX","","","","","","","",""
"    Male","52.4%","±0.3","51.2%","±0.3","57.9%","±1.3","55.3%","±3.9"
"    Female","47.6%","±0.3","48.8%","±0.3","42.1%","±1.3","44.7%","±3.9"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","73.4%","±0.4","74.7%","±0.4","64.9%","±1.7","39.9%","±4.2"
"        Black or African American","19.2%","±0.3","18.8%","±0.3","21.2%","±1.4","44.5%","±4.2"
"        American Indian and Alaska Native","1.0%","±0.1","1.0%","±0.1","1.3%","±0.3","0.3%","±0.4"
"        Asian","2.4%","±0.1","2.2%","±0.1","3.7%","±0.6","5.7%","±2.1"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","2.7%","±0.2","2.2%","±0.2","7.1%","±1.1","7.3%","±2.2"
"    Two or more races","1.2%","±0.1","1.1%","±0.1","1.6%","±0.4","2.4%","±1.4"
"Hispanic or Latino origin (of any race)","8.1%","±0.2","6.4%","±0.2","19.6%","±1.4","16.7%","±3.9"
"White alone, not Hispanic or Latino","68.5%","±0.3","70.8%","±0.4","53.7%","±1.6","32.5%","±4.6"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"    Native","89.9%","±0.2","91.7%","±0.3","77.2%","±1.5","78.0%","±3.1"
"    Foreign born","10.1%","±0.2","8.3%","±0.3","22.8%","±1.5","22.0%","±3.1"
"        Naturalized U.S. citizen","3.4%","±0.2","3.2%","±0.2","4.9%","±0.8","2.1%","±1.1"
"        Not a U.S. citizen","6.8%","±0.2","5.1%","±0.2","17.9%","±1.3","19.8%","±3.3"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Speak language other than English","11.5%","±0.2","9.5%","±0.3","24.8%","±1.5","23.0%","±3.2"
"        Speak English ""very well""","5.9%","±0.2","5.3%","±0.2","8.8%","±1.0","8.5%","±2.3"
"        Speak English less than ""very well""","5.6%","±0.2","4.2%","±0.2","16.0%","±1.3","14.5%","±3.2"
"EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","4,182,864","±28,127","3,389,763","±25,928","415,714","±13,998","49,068","±4,657"
"    $1 to $9,999 or loss","15.2%","±0.3","13.5%","±0.3","21.0%","±1.5","26.7%","±3.7"
"    $10,000 to $14,999","8.5%","±0.3","8.1%","±0.3","10.1%","±1.0","18.5%","±3.9"
"    $15,000 to $24,999","17.7%","±0.4","16.9%","±0.4","23.1%","±1.4","21.7%","±3.3"
"    $25,000 to $34,999","16.2%","±0.3","16.9%","±0.4","15.7%","±1.1","11.5%","±2.8"
"    $35,000 to $49,999","16.1%","±0.3","17.1%","±0.4","13.9%","±1.0","6.4%","±2.2"
"    $50,000 to $64,999","10.6%","±0.3","11.4%","±0.3","7.1%","±0.7","7.2%","±2.0"
"    $65,000 to $74,999","3.9%","±0.2","4.1%","±0.2","2.6%","±0.5","1.6%","±1.1"
"    $75,000 or more","11.7%","±0.3","12.0%","±0.3","6.4%","±0.7","6.3%","±2.1"
"Median earnings (dollars)","30,311","±218","31,398","±214","22,325","±705","17,039","±2,422"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","4,134,402","±28,003","3,377,102","±25,889","410,205","±13,969","47,956","±4,532"
"    Below 100 percent of the poverty level","8.7%","±0.3","7.3%","±0.3","14.6%","±1.3","29.0%","±4.6"
"    100 to 149 percent of the poverty level","8.1%","±0.3","7.3%","±0.3","12.6%","±1.2","17.1%","±3.4"
"    At or above 150 percent of the poverty level","83.2%","±0.5","85.3%","±0.4","72.8%","±1.7","54.0%","±5.1"
"Workers 16 years and over","4,183,841","±28,155","3,390,337","±26,025","415,821","±13,997","49,068","±4,657"
"OCCUPATION","","","","","","","",""
"    Management, business, science, and arts occupations","35.3%","±0.4","36.1%","±0.5","26.5%","±1.5","25.8%","±4.1"
