"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","4,887,692","±23,189","3,440,939","±27,236","366,355","±12,616","25,104","±3,063"
"    AGE","","","","","","","",""
"        16 to 19 years","4.1%","±0.2","4.0%","±0.2","9.8%","±1.1","4.0%","±2.7"
"        20 to 24 years","9.5%","±0.2","9.7%","±0.3","13.8%","±1.0","16.9%","±4.8"
"        25 to 44 years","42.8%","±0.3","42.1%","±0.4","41.9%","±1.7","40.9%","±6.5"
"        45 to 54 years","20.8%","±0.2","20.7%","±0.3","17.2%","±1.1","14.7%","±4.1"
"        55 to 59 years","9.4%","±0.2","9.6%","±0.3","7.6%","±0.9","12.2%","±4.3"
"        60 years and over","13.3%","±0.2","13.9%","±0.3","9.7%","±1.0","11.4%","±4.1"
"        Median age (years)","41.9","±0.2","42.1","±0.2","37.8","±0.6","36.4","±4.1"
"    SEX","","","","","","","",""
"        Male","52.6%","±0.3","53.2%","±0.4","55.6%","±1.6","58.4%","±6.3"
"        Female","47.4%","±0.3","46.8%","±0.4","44.4%","±1.6","41.6%","±6.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N"
"            White","64.2%","±0.3","65.6%","±0.4","51.3%","±1.8","32.9%","±5.5"
"            Black or African American","19.3%","±0.2","18.9%","±0.3","21.2%","±1.5","50.4%","±7.1"
"            American Indian and Alaska Native","1.0%","±0.1","1.1%","±0.1","1.6%","±0.5","1.6%","±1.6"
"            Asian","3.4%","±0.1","2.5%","±0.1","3.9%","±0.6","7.5%","±3.3"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"            Some other race","4.8%","±0.2","4.7%","±0.2","11.5%","±1.3","3.9%","±2.8"
"        Two or more races","7.3%","±0.3","7.1%","±0.3","10.5%","±1.1","3.7%","±2.6"
"        Hispanic or Latino origin (of any race)","9.5%","±0.1","9.2%","±0.2","20.3%","±1.5","9.4%","±3.9"
